Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1563601,289.4363,265.6543,55.35559,53.02544
1563618,288.3975,265.6913,55.25919,53.02927
1563633,287.4247,265.8847,55.16848,53.0493
1563650,286.4578,266.1481,55.0779,53.07655
1563669,285.6614,266.464,55.003,53.10919
1563685,284.9823,266.8723,54.9389,53.1513
1563702,284.2836,267.0629,54.87274,53.17093
1563719,283.8061,267.1921,54.8274,53.18422
1563733,283.3534,267.3559,54.78432,53.20107
1563750,282.9453,267.0396,54.74541,53.16853
1563769,282.6459,266.4437,54.7168,53.10709
1563787,282.3519,265.6822,54.68869,53.02833
1563803,282.2418,264.7726,54.67815,52.93387
1563818,282.0562,264.223,54.66036,52.87659
1563834,281.9151,263.8524,54.64684,52.83789
1563848,281.7066,263.4428,54.62683,52.79503
1563867,281.5285,263.0692,54.60972,52.75586
1563884,281.3586,262.8622,54.59339,52.73413
1563899,281.123,262.6757,54.57072,52.71453
1563915,280.7714,262.4506,54.53685,52.69085
1563941,280.4336,262.0621,54.50425,52.64993
1563958,280.1035,261.6646,54.47233,52.60798
1563967,279.6762,261.0978,54.43096,52.54801
1563984,279.2377,260.5699,54.38841,52.49201
1564002,278.5148,260.0464,54.31807,52.43635
1564017,277.7704,259.6663,54.24539,52.39584
1564031,276.7344,259.2435,54.14381,52.3507
1564055,275.8313,258.8817,54.05485,52.31199
1564068,274.6901,258.6366,53.94189,52.28573
1564084,273.6189,258.3814,53.8353,52.25835
1564101,272.3769,258.1832,53.71103,52.23707
1564117,270.8696,257.8999,53.55923,52.20661
1564133,268.7592,257.511,53.34483,52.16473
1564150,266.6365,257.1712,53.12699,52.12807
1564167,264.0453,256.8831,52.85804,52.09695
1564183,261.3848,256.5414,52.57839,52.05997
1564200,258.1928,256.0851,52.23811,52.01051
1564217,254.0131,255.4738,51.78449,51.94406
1564234,249.9303,254.8543,51.33239,51.87653
1564252,245.495,254.3085,50.83096,51.81685
1564267,240.2365,253.7791,50.22218,51.75882
1564284,235.3196,253.2221,49.63852,51.6976
1564300,229.9253,252.5694,48.9817,51.62565
1564315,224.6875,251.858,48.32691,51.54697
1564332,218.8999,251.244,47.58332,51.47885
1564351,213.4115,250.7637,46.85808,51.42542
1564367,207.7267,250.299,46.08566,51.3736
1564384,202.1055,249.9294,45.30001,51.33229
1564402,197.2044,249.4986,44.59674,51.28407
1564417,192.7161,249.1298,43.93743,51.2427
1564432,188.4176,248.8258,43.29197,51.20855
1564451,185.3953,248.7545,42.82979,51.20052
1564466,182.3334,248.7206,42.35439,51.19672
1564483,179.5835,248.7645,41.92122,51.20164
1564500,176.5802,248.691,41.44132,51.19338
1564517,174.218,248.6598,41.0588,51.18987
1564534,171.5497,248.4495,40.6213,51.16619
1564558,169.7726,248.3426,40.32669,51.15415
1564574,168.3085,248.2405,40.08203,51.14264
1564584,166.7294,248.2897,39.81617,51.14819
1564599,165.627,248.4213,39.62935,51.16302
1564615,164.4012,248.6596,39.42041,51.18985
1564633,163.5863,248.955,39.28082,51.22306
1564652,163.5537,249.6302,39.27522,51.29881
1564668,163.5771,250.4298,39.27924,51.38819
1564684,164.1637,251.7767,39.37979,51.53796
1564701,164.9295,253.3246,39.5106,51.70888
1564719,166.136,255.6831,39.71573,51.96683
1564737,168.2843,259.6536,40.07799,52.39449
1564754,170.2372,263.9987,40.40396,52.85317
1564771,172.6723,270.4571,40.80606,53.51749
1564787,174.6483,277.4397,41.12881,54.21302
1564803,176.1019,284.8755,41.36423,54.92881
1564817,177.2912,295.1971,41.55558,55.88183
1564834,178.3994,304.8299,41.73286,56.73098
1564854,179.38,311.9298,41.88894,57.33323
1564869,180.6275,316.3133,42.08638,57.69547
1564885,181.8928,319.3247,42.28539,57.94019
1564901,183.6489,321.8991,42.55954,58.14679
1564918,186.1157,324.2326,42.94059,58.33201
1564933,188.7494,326.1415,43.3423,58.48209
1564958,190.689,327.2298,43.63477,58.56709
1564970,192.8368,327.9801,43.95535,58.62545
1564984,195.7501,329.1118,44.38473,58.71311
1565001,199.0531,330.2145,44.86405,58.7981
1565018,202.1727,331.7508,45.30953,58.91582
1565034,205.7004,333.1669,45.805,59.02362
1565051,209.0037,334.5297,46.26109,59.12673
1565069,212.4818,336.0831,46.73325,59.2435
1565086,216.2931,338.3617,47.24133,59.41337
1565102,219.8647,341.1825,47.70877,59.62132
1565119,223.282,344.2405,48.1483,59.84388
1565136,226.5428,347.2582,48.5608,60.06063
1565152,229.7453,349.1405,48.95948,60.1944
1565169,232.9207,349.6154,49.34859,60.22797
1565188,235.9913,349.6303,49.71909,60.22903
1565206,239.4051,348.9748,50.12448,60.18267
1565222,243.0859,348.4684,50.554,60.14676
1565240,246.8999,347.637,50.99097,60.08763
1565257,251.0651,345.8154,51.45896,59.95735
1565272,255.8128,344.0321,51.98093,59.8288
1565291,261.071,342.346,52.54517,59.70634
1565306,267.4498,340.5698,53.21072,59.57637
1565324,273.4669,339.1529,53.82013,59.47195
1565340,280.5451,337.5187,54.51501,59.35073
1565357,286.4293,336.1464,55.07523,59.24825
1565370,293.1201,334.6996,55.69373,59.13954
1565387,300.0605,333.154,56.31526,59.02264
1565404,307.7135,330.8346,56.97794,58.84571
1565421,314.9586,328.2471,57.58428,58.64617
1565438,323.2269,325.2908,58.25242,58.41537
1565458,331.1545,323.0393,58.87022,58.23753
1565471,339.4605,321.0751,59.49468,58.08092
1565487,348.2403,318.7805,60.13055,57.89621
1565507,356.424,316.3442,60.70193,57.69799
1565520,365.3635,313.6423,61.3037,57.4756
1565539,373.9593,311.701,61.86134,57.31413
1565556,382.3275,310.2228,62.38541,57.1902
1565573,391.3275,309.1154,62.92929,57.09682
1565590,400.7217,308.4552,63.47624,57.04093
1565608,409.2175,308.4941,63.9535,57.04423
1565623,417.3236,308.5402,64.39419,57.04813
1565641,425.0928,308.6469,64.8037,57.05718
1565657,431.5114,308.7904,65.13288,57.06934
1565672,438.105,309.2737,65.46275,57.1102
1565690,444.1269,310.2708,65.75693,57.19425
1565706,449.679,310.9352,66.02233,57.25003
1565724,454.5999,311.6272,66.25304,57.30796
1565742,458.6059,312.1956,66.43778,57.3554
1565758,461.9122,312.8239,66.58823,57.4077
1565773,465.0566,313.5923,66.72963,57.47146
1565791,467.6943,314.1866,66.84701,57.52063
1565808,469.8859,314.5655,66.94369,57.5519
1565823,471.2062,314.3161,67.00156,57.53131
1565840,472.4184,313.8422,67.05446,57.49215
1565858,472.998,312.9373,67.07967,57.41713
1565874,473.5254,312.314,67.10256,57.36526
1565893,473.5051,311.615,67.10168,57.30694
1565907,472.3587,310.6453,67.05186,57.22571
1565923,471.1065,309.6861,66.9972,57.14501
1565940,469.4372,308.6692,66.92396,57.05907
1565956,466.4674,307.5515,66.79255,56.96415
1565974,463.2682,306.5139,66.6494,56.8756
1565992,459.2516,305.3484,66.4673,56.77562
1566007,453.1097,303.4687,66.18362,56.61326
1566024,446.5456,301.0139,65.87322,56.3991
1566040,437.0076,297.2338,65.40842,56.06453
1566062,427.6531,293.7132,64.93597,55.74763
1566074,418.4862,290.601,64.45625,55.46313
1566091,407.9981,287.954,63.88598,55.21788
