Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1633407,281.142,261.6992,54.57256,52.61163
1633447,276.9563,261.7485,54.16561,52.61683
1633471,272.4023,264.0636,53.71358,52.85996
1633516,270.8754,266.9046,53.55981,53.15463
1633539,269.1532,268.3495,53.38502,53.30296
1633569,267.0891,268.5803,53.17363,53.32656
1633601,264.8881,267.9427,52.94589,53.26131
1633636,263.5677,269.4571,52.8081,53.41597
1633670,263.2105,271.2239,52.77069,53.59501
1633702,263.2276,272.3491,52.77248,53.70824
1633734,262.9529,272.9915,52.74366,53.77261
1633763,261.1839,274.2884,52.55713,53.90198
1633801,257.9416,276.6707,52.21109,54.13755
1633837,252.1704,280.7676,51.58155,54.53648
1633863,243.8145,288.7087,50.63812,55.28812
1633897,231.4245,302.7988,49.16601,56.55505
1633929,216.2012,314.1284,47.22919,57.51581
1633961,201.425,323.2051,45.20338,58.25069
1633994,186.0242,334.8403,42.92655,59.15014
1634028,170.1953,347.9979,40.397,60.11332
1634061,155.761,359.4609,37.91163,60.90893
1634092,146.8285,363.1234,36.28398,61.15504
1634123,141.3656,365.9444,35.25375,61.34203
1634156,137.7981,367.6151,34.56647,61.45171
1634189,135.2114,367.9317,34.06093,61.47242
1634223,133.3609,369.6794,33.69554,61.5862
1634254,131.6724,372.575,33.35939,61.77289
1634290,130.017,375.5598,33.02728,61.96298
1634321,131.0515,373.5671,33.23513,61.83633
1634354,132.672,374.7313,33.55871,61.91045
1634381,135.2608,375.5184,34.07064,61.96037
1634414,137.8519,374.1758,34.57691,61.87513
1634445,139.3988,374.1924,34.87626,61.87619
1634477,140.7375,373.4901,35.13357,61.83142
1634512,141.9927,372.6797,35.37337,61.7796
1634541,142.4558,373.1336,35.46148,61.80865
1634573,142.4968,372.2314,35.46926,61.75085
1634606,142.5515,371.3994,35.47965,61.69736
1634642,142.5663,371.7118,35.48247,61.71747
1634672,142.4757,371.0622,35.46526,61.67564
1634708,143.28,369.6119,35.61781,61.58182
1634739,143.7184,369.9941,35.70073,61.6066
1634772,143.9344,369.7493,35.74152,61.59073
1634802,144.0068,369.1381,35.75517,61.55105
1634847,144.2493,369.4269,35.80089,61.56981
1634869,144.4567,368.9532,35.83995,61.53902
1634900,145.2319,367.851,35.98563,61.46715
1634933,145.027,368.0827,35.94719,61.48228
1634965,144.5936,367.0193,35.86573,61.41269
1634997,144.5462,364.9993,35.85681,61.27962
1635030,145.6233,362.2834,36.05897,61.09893
1635064,147.9094,358.6931,36.48466,60.85685
1635095,150.1365,354.4523,36.89492,60.5661
1635125,153.1336,348.9585,37.44012,60.18151
1635160,156.7567,341.9641,38.08876,59.67848
1635192,161.5286,334.7819,38.92584,59.14574
1635223,164.7678,329.0113,39.48302,58.70534
1635258,167.0315,325.3074,39.8672,58.41667
1635293,168.6585,321.3759,40.14068,58.10499
1635323,170.2075,320.1159,40.39903,58.00394
1635354,171.9658,318.408,40.68989,57.86605
1635387,173.6771,316.7409,40.97057,57.73042
1635419,175.2738,313.4598,41.23032,57.46048
1635455,176.9463,312.3617,41.5002,57.36924
1635486,178.0188,309.9992,41.67208,57.17139
1635517,179.384,308.6971,41.88956,57.06143
1635551,179.5809,307.9949,41.92081,57.00186
1635582,180.032,307.6331,41.99228,56.9711
1635615,179.9159,307.6754,41.97389,56.9747
1635647,180.1668,307.2458,42.01361,56.9381
1635677,180.5168,307.1612,42.0689,56.93089
1635710,181.7853,306.5108,42.26853,56.87533
1635742,185.1463,304.9471,42.7914,56.74108
1635776,190.186,302.9035,43.55919,56.56416
1635810,195.8221,299.2445,44.39526,56.24322
1635842,200.8677,294.0824,45.12402,55.7811
1635872,202.8895,296.052,45.41092,55.95873
1635904,205.2349,297.1597,45.74012,56.05792
1635937,206.9715,297.553,45.98139,56.09301
1635970,208.5103,296.5152,46.19344,56.00027
1636004,210.691,296.783,46.49117,56.02425
1636037,213.1862,295.8575,46.82789,55.94126
1636074,215.4046,296.1625,47.12374,55.96865
1636104,216.7047,295.8108,47.29562,55.93707
1636138,217.219,296.042,47.3633,55.95783
1636169,216.4581,295.9911,47.2631,55.95327
1636203,216.3123,295.7912,47.24386,55.93531
1636240,217.1128,295.5152,47.34935,55.91048
1636271,218.7678,295.1551,47.56609,55.87805
1636302,222.3016,294.4373,48.02296,55.81323
1636335,228.1762,293.2333,48.76493,55.70403
1636363,238.7468,290.9423,50.04684,55.49453
1636398,252.7115,287.9246,51.64134,55.21514
1636430,266.5807,286.0341,53.12123,55.03809
1636464,280.0432,284.2004,54.4665,54.86485
1636495,292.3741,283.9503,55.62572,54.8411
1636527,303.021,283.4486,56.57438,54.79339
1636560,312.3505,283.3041,57.36831,54.77962
1636596,320.7291,283.3643,58.05319,54.78536
1636628,328.0545,283.404,58.63123,54.78914
1636659,334.0529,281.7209,59.09072,54.6282
1636693,340.55,280.2786,59.57491,54.48927
1636723,347.8707,281.9029,60.10427,54.64566
1636756,355.0445,281.469,60.60702,54.60401
1636788,361.4457,276.9896,61.04277,54.16888
1636828,368.2293,274.4098,61.49186,53.91405
1636858,372.1159,274.2922,61.74344,53.90236
1636888,374.6331,273.8909,61.90422,53.86242
1636923,375.251,273.3336,61.94343,53.80682
1636958,375.7841,273.3499,61.97717,53.80845
1636988,375.6734,275.495,61.97018,54.02163
1637019,376.7332,276.8842,62.03708,54.15854
1637051,376.6459,278.885,62.03158,54.35412
1637090,377.0328,280.3954,62.05593,54.50056
1637123,377.7275,282.5593,62.09958,54.70853
1637151,379.1855,282.9655,62.19076,54.74733
1637183,380.7347,282.435,62.28704,54.69664
1637215,382.6562,283.4371,62.40562,54.79229
1637249,383.7821,282.974,62.47467,54.74814
1637283,385.5405,283.5853,62.58187,54.8064
1637314,387.3694,283.8799,62.69255,54.83441
1637347,388.3516,284.9022,62.75166,54.93132
1637384,389.8409,286.4059,62.84082,55.07304
1637415,390.4632,286.7162,62.87792,55.10215
1637443,390.3729,286.2299,62.87254,55.0565
1637487,390.1883,286.3999,62.86155,55.07247
1637522,390.1116,286.299,62.85698,55.063
1637537,389.7454,286.2736,62.83512,55.0606
1637558,389.4328,286.646,62.81645,55.09557
1637581,389.2523,286.7365,62.80565,55.10405
1637608,388.9792,286.7533,62.7893,55.10563
1637635,388.7401,286.9629,62.77497,55.12527
1637671,388.6257,287.302,62.76811,55.157
1637711,388.4143,287.4251,62.75542,55.16851
1637735,388.5503,287.7038,62.76359,55.19454
1637765,388.7665,287.545,62.77655,55.17971
1637810,389.5233,287.2625,62.82185,55.15331
1637835,390.6664,287.1715,62.89002,55.14479
1637867,392.9688,287.0441,63.02635,55.13287
1637903,395.1324,286.8773,63.15332,55.11726
1637944,398.4579,285.4426,63.34632,54.98236
1637975,403.1925,286.1655,63.6167,55.05045
1637999,408.9441,288.5106,63.93839,55.2697
1638032,415.2415,290.1439,64.28233,55.421
1638063,423.1346,292.8229,64.70164,55.66666
