Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1087457,293.6949,269.2423,55.74597,53.3941
1087474,293.1895,268.9242,55.70004,53.36168
1087492,292.5096,268.8336,55.63809,53.35242
1087505,292.0569,268.9945,55.59674,53.36884
1087521,291.748,269.0088,55.56846,53.3703
1087537,291.8188,268.9199,55.57494,53.36123
1087554,292.1396,268.8104,55.60429,53.35006
1087572,292.7611,268.2747,55.66103,53.29531
1087587,292.6283,268.5011,55.64892,53.31846
1087604,292.7267,268.5054,55.6579,53.3189
1087621,293.0223,268.5391,55.68483,53.32235
1087638,293.1965,269.2003,55.70068,53.38982
1087660,293.118,269.4436,55.69354,53.4146
1087672,293.3429,269.659,55.71399,53.43651
1087689,293.571,270.0043,55.73471,53.47158
1087705,293.6438,270.212,55.74133,53.49265
1087721,293.8513,270.7051,55.76015,53.54259
1087739,294.1111,271.3929,55.78371,53.61205
1087755,294.0925,272.0077,55.78202,53.67395
1087771,293.9307,272.5979,55.76735,53.7332
1087789,293.9166,272.8793,55.76608,53.76138
1087805,293.8896,272.8344,55.76363,53.75689
1087822,293.0237,273.001,55.68495,53.77357
1087841,292.3731,273.114,55.62563,53.78487
1087856,291.794,273.2852,55.57268,53.80199
1087872,290.8617,273.9404,55.48712,53.86735
1087895,289.9611,274.9044,55.40412,53.96315
1087908,288.941,276.587,55.30968,54.12932
1087923,287.7819,278.5363,55.20183,54.32016
1087943,286.4722,281.428,55.07926,54.60006
1087958,283.769,285.9549,54.82388,55.03064
1087977,280.8817,290.2288,54.54748,55.42883
1087992,275.9387,295.4469,54.06544,55.90433
1088006,270.5152,301.1238,53.52337,56.40873
1088024,263.2908,308.9683,52.7791,57.08439
1088041,257.3669,317.5532,52.14919,57.79663
1088058,253.5328,326.4012,51.73177,58.50241
1088074,248.4468,336.9819,51.16589,59.31071
1088091,242.6494,348.0884,50.50348,60.11976
1088109,236.4389,357.8133,49.77264,60.79696
1088124,227.0929,370.1327,48.62973,61.61557
1088141,219.9869,384.8878,47.72461,62.54217
1088161,213.075,395.3147,46.81297,63.16396
1088175,203.9351,407.3605,45.55816,63.85055
1088191,197.9945,419.5228,44.71129,64.51136
1088208,192.4744,428.4254,43.9015,64.97562
1088224,186.2999,435.8198,42.96887,65.34937
1088242,181.2578,441.3062,42.18567,65.61996
1088258,179.5174,444.5328,41.91074,65.77651
1088275,176.3203,449.6941,41.39946,66.02305
1088292,173.2338,452.8284,40.8981,66.17047
1088309,170.9167,454.9907,40.51665,66.27118
1088331,169.9065,454.5264,40.34898,66.24962
