Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1490846,325.3415,256.7369,58.41935,52.08113
1490879,325.4913,257.5534,58.43111,52.1693
1490914,325.7813,259.5082,58.45387,52.37897
1490945,325.8225,262.0458,58.4571,52.6482
1490971,326.1604,263.6833,58.48357,52.8202
1490991,326.2935,265.9247,58.49399,53.05345
1491010,326.2572,267.2299,58.49115,53.18811
1491030,326.2131,268.1008,58.4877,53.2775
1491047,326.2091,269.014,58.48738,53.37083
1491069,326.2686,269.7273,58.49204,53.44345
1491090,326.5356,270.0652,58.51292,53.47776
1491115,326.6143,270.7736,58.51907,53.54952
1491131,326.5242,271.2345,58.51203,53.59607
1491145,326.1502,271.515,58.48278,53.62436
1491169,324.9024,271.4191,58.38482,53.6147
1491199,323.2594,270.8326,58.25499,53.55548
1491226,320.9152,271.0087,58.06812,53.57328
1491257,317.2637,271.1742,57.77306,53.58999
1491294,312.6771,271.7205,57.3955,53.64505
1491325,308.9287,273.1913,57.08104,53.7926
1491350,305.8347,274.2494,56.81739,53.89811
1491373,300.734,277.5263,56.37453,54.2215
1491407,293.4558,280.0751,55.72425,54.46959
1491440,287.1887,279.4499,55.1464,54.40901
1491473,283.2127,280.9296,54.77091,54.55209
1491507,275.2405,284.1508,53.99645,54.86015
1491540,268.9864,286.486,53.36802,55.08055
1491574,260.5003,288.7167,52.48462,55.28886
1491605,251.942,291.6791,51.55627,55.56215
1491638,243.2697,293.4309,50.57526,55.722
1491668,231.4536,294.2983,49.16956,55.80065
1491700,219.3764,296.6847,47.64534,56.01545
1491734,210.2103,297.9798,46.42582,56.13103
1491767,199.4047,297.7733,44.91461,56.11264
1491801,191.1914,297.6137,43.71007,56.09842
1491831,181.4291,297.4385,42.2126,56.0828
1491864,174.1375,295.006,41.04567,55.8646
1491897,162.5905,296.4158,39.10947,55.99137
1491930,150.9149,297.3438,37.03727,56.07435
1491962,139.2212,301.3208,34.842,56.42601
1491996,127.9971,305.1199,32.61864,56.75596
1492028,115.361,309.4503,29.97657,57.12512
1492067,107.5414,312.5738,28.26723,57.3869
1492092,102.142,317.2759,27.05385,57.77406
1492135,98.45755,316.9492,26.21046,57.74743
1492168,95.81839,314.6796,25.59871,57.5613
1492198,103.1227,310.8206,27.27625,57.24042
1492231,102.2493,309.1546,27.07823,57.10014
1492254,104.5778,308.0342,27.60456,57.0052
1492284,107.8719,307.113,28.34063,56.92678
1492323,111.656,307.2059,29.17376,56.9347
1492357,116.7402,306.916,30.27214,56.90996
1492383,122.3216,307.2846,31.4503,56.94141
1492415,127.3678,307.762,32.49058,56.98206
1492451,132.6187,309.0336,33.54809,57.08991
1492481,137.6161,309.5759,34.53111,57.13571
1492514,143.4865,309.0699,35.65688,57.09298
1492546,149.21,307.3059,36.72478,56.94322
1492578,154.293,305.6775,37.64893,56.8039
1492613,157.693,304.6532,38.25454,56.71573
1492642,158.9841,303.5919,38.48191,56.62395
1492679,158.2696,303.6748,38.35625,56.63113
1492713,157.1325,302.9327,38.15539,56.56671
1492748,156.9108,302.4487,38.1161,56.52456
1492772,156.5754,301.8383,38.05657,56.47129
1492794,156.3053,301.2447,38.00856,56.41934
1492820,156.1974,300.5688,37.98938,56.36
1492852,156.5198,299.9056,38.0467,56.30161
1492886,156.9094,299.2649,38.11586,56.24503
1492917,156.9063,299.1382,38.1153,56.23381
1492951,157.1718,298.0601,38.16235,56.13816
1492984,156.956,297.8614,38.12411,56.12049
1493015,156.8939,297.6051,38.11311,56.09766
1493052,156.8253,297.6318,38.10093,56.10003
1493082,156.5419,297.052,38.05062,56.0483
1493122,156.3366,296.9349,38.01414,56.03783
1493153,155.3003,296.9213,37.8294,56.03661
1493180,154.9515,297.2154,37.76701,56.06289
1493212,154.449,297.7976,37.67693,56.11481
1493247,154.8861,297.6688,37.7553,56.10333
1493278,154.1413,297.9358,37.62167,56.12711
1493309,154.273,297.5756,37.64534,56.09502
1493349,154.9485,296.8654,37.76646,56.03162
1493374,155.3088,295.5957,37.83091,55.91772
1493414,155.7025,295.2438,37.90121,55.88604
1493440,155.6841,295.5464,37.89792,55.91329
1493461,155.5896,295.6923,37.88106,55.92641
1493486,155.7893,295.8685,37.91669,55.94225
1493511,155.4238,295.9086,37.85146,55.94585
1493530,155.6279,296.1073,37.88789,55.9637
1493554,155.5723,296.1064,37.87798,55.96362
1493591,155.9147,295.7525,37.93903,55.93183
1493620,156.0247,295.3512,37.95863,55.89572
1493653,155.5039,295.1554,37.86575,55.87807
1493688,155.1113,295.0626,37.7956,55.8697
1493720,155.0075,294.8996,37.77702,55.855
1493756,155.0521,295.1288,37.78501,55.87567
1493786,155.5766,295.2511,37.87874,55.8867
1493818,155.5383,295.5508,37.87189,55.91368
1493851,155.1865,296.222,37.80904,55.97399
1493884,155.5243,296.2606,37.8694,55.97744
1493917,155.1988,296.6165,37.81125,56.00934
1493949,154.9043,297.2749,37.75855,56.0682
1493982,154.7216,297.8184,37.72582,56.11665
