Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
2042103,306.4659,254.4463,56.87149,51.83193
2042122,306.0699,254.2617,56.83757,51.81173
2042139,305.7547,253.9822,56.81053,51.7811
2042157,305.2076,253.7658,56.76351,51.75736
2042175,304.517,253.6409,56.70398,51.74364
2042194,303.6217,253.6945,56.62653,51.74953
2042213,302.6939,254.0191,56.54592,51.78514
2042234,302.311,254.5469,56.51256,51.84293
2042253,301.7204,254.3799,56.46098,51.82466
2042271,300.9205,254.5067,56.3909,51.83853
2042290,300.3926,254.6761,56.34451,51.85706
2042310,299.8294,254.6878,56.29489,51.85834
2042333,299.4198,254.6072,56.25872,51.84953
2042349,298.7762,254.8086,56.20176,51.87153
2042370,298.0411,255.1253,56.13648,51.90609
2042388,297.8218,255.8822,56.11696,51.98847
2042407,297.6824,256.7539,56.10454,52.08298
2042426,297.4057,257.4703,56.07987,52.16035
2042447,297.0687,258.243,56.04979,52.2435
2042466,296.4096,258.7936,55.99081,52.30255
2042485,295.642,259.0286,55.92189,52.32771
2042504,295.5682,259.2481,55.91525,52.35119
2042526,295.9274,259.4968,55.94754,52.37775
2042543,296.194,259.5887,55.97147,52.38756
2042563,296.1321,259.5206,55.96592,52.38029
2042583,296.1124,259.2635,55.96415,52.35283
2042607,296.5531,258.6673,56.00367,52.28902
2042625,296.8792,258.244,56.03284,52.2436
2042640,296.6875,257.5897,56.0157,52.17322
2042663,296.1476,257.1096,55.96731,52.12142
2042682,295.8171,256.979,55.93764,52.10732
2042703,295.6403,256.8863,55.92174,52.09729
2042721,295.5252,256.9614,55.91138,52.10541
2042740,295.1034,257.2281,55.87338,52.13422
2042759,294.2739,257.6775,55.79845,52.18267
2042779,293.7359,258.0294,55.74969,52.22055
2042798,293.351,258.5111,55.71473,52.27227
2042817,293.0977,258.894,55.69168,52.31331
2042837,292.9159,259.4287,55.67514,52.37048
2042855,293.0866,259.9197,55.69068,52.42285
2042876,293.3729,260.7175,55.71672,52.50769
2042898,293.3835,261.4231,55.71768,52.58244
2042917,293.2817,262.2336,55.70843,52.66801
2042936,292.9424,263.046,55.67755,52.75343
2042956,292.3821,263.6029,55.62645,52.81179
2042975,292.0048,264.1823,55.59196,52.87234
2042992,291.427,264.5624,55.53904,52.91198
2043012,290.8616,264.4991,55.48711,52.90539
2043035,290.2544,264.4849,55.43119,52.90391
2043053,290.5438,264.4675,55.45786,52.9021
2043071,290.4622,263.867,55.45034,52.83941
2043091,289.7435,264.1577,55.38401,52.86978
2043116,289.7377,264.5056,55.38348,52.90606
2043136,289.3747,264.7225,55.34988,52.92866
2043156,288.9534,265.1494,55.31083,52.97306
2043171,288.4643,265.391,55.2654,52.99813
2043190,288.136,265.5932,55.23484,53.01911
2043209,287.6818,265.9432,55.19249,53.05536
2043230,287.1562,266.1112,55.14336,53.07274
2043252,286.527,266.4293,55.0844,53.10561
2043270,285.68,266.7404,55.00475,53.1377
2043291,284.5076,267.1556,54.89397,53.18047
2043309,283.0877,267.5101,54.759,53.21692
2043332,281.5128,267.8402,54.60821,53.25079
2043346,279.8217,268.1157,54.44506,53.27903
2043367,277.9105,268.4968,54.25909,53.31802
2043386,275.9354,269.0265,54.06512,53.37211
2043407,273.868,269.5727,53.86013,53.42773
2043427,272.0732,270.1853,53.68053,53.48994
