Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1561880,298.9826,266.7108,56.22004,53.13465
1561899,298.6705,266.7646,56.19238,53.14021
1561920,298.3631,266.8001,56.1651,53.14386
1561940,298.1346,266.7006,56.14479,53.1336
1561960,297.8691,266.5793,56.12117,53.12109
1561977,297.5181,266.3507,56.0899,53.09749
1561992,297.0098,266.1403,56.04453,53.07575
1562012,296.7809,265.7408,56.02406,53.0344
1562031,296.6997,265.4162,56.01679,53.00075
1562052,296.597,265.3123,56.0076,52.98997
1562072,296.2845,265.2909,55.9796,52.98775
1562091,295.9317,265.396,55.94793,52.99865
1562108,295.507,265.5813,55.90975,53.01787
1562128,295.2216,265.8145,55.88404,53.04204
1562147,294.8909,266.2303,55.85422,53.08505
1562168,294.4625,266.7351,55.81551,53.13716
1562188,294.1425,267.402,55.78655,53.2058
1562206,293.78,268.0102,55.75369,53.26822
1562225,293.4146,268.6737,55.72051,53.3361
1562243,292.8919,269.534,55.67295,53.42379
1562263,292.2098,270.5146,55.61071,53.52331
1562284,291.4727,271.5927,55.54323,53.63219
1562306,290.7674,272.7652,55.47844,53.74996
1562326,289.9597,274.0608,55.40399,53.87934
1562344,289.0341,275.4899,55.31833,54.02112
1562362,288.06,276.9713,55.22776,54.16709
1562382,287.1726,278.8786,55.14491,54.3535
1562401,286.382,280.6521,55.07078,54.52534
1562422,285.3001,282.3915,54.96892,54.69247
1562441,283.5769,284.2165,54.8056,54.86637
1562466,281.7895,285.946,54.63479,55.0298
1562479,280.4552,287.872,54.50633,55.21024
1562497,279.084,290.0055,54.37348,55.40822
1562517,277.4043,292.3239,54.20955,55.62113
1562540,275.3328,294.9941,54.00558,55.86353
1562558,273.45,297.7933,53.81844,56.11442
1562580,271.8556,300.8414,53.65865,56.38395
1562595,270.8968,303.6222,53.56197,56.62657
1562613,269.9174,306.5437,53.46276,56.87814
1562633,269.4418,310.0062,53.41441,57.17198
1562655,268.9259,313.3316,53.36185,57.44985
1562676,268.6391,316.855,53.33257,57.73974
1562695,268.2144,320.0932,53.28913,58.00212
1562712,267.3915,323.3748,53.20473,58.26414
1562730,266.9348,326.2903,53.15773,58.49374
1562750,266.7869,329.0948,53.1425,58.7118
1562769,266.5558,331.7793,53.11867,58.91799
1562788,265.9182,334.2385,53.05277,59.10475
1562808,265.2158,336.147,52.97995,59.24829
1562828,265.1596,337.0816,52.97411,59.31815
1562846,265.8443,337.2335,53.04512,59.32948
1562862,266.0138,337.8513,53.06266,59.37547
1562885,265.3947,338.3719,52.99852,59.41413
1562903,264.105,338.7209,52.86428,59.43999
1562924,263.0803,338.5658,52.75703,59.4285
1562944,262.4091,338.2649,52.68648,59.40619
1562963,261.8054,338.1315,52.62284,59.39629
1562982,261.1181,338.0829,52.55016,59.39268
1562999,260.4854,337.9642,52.48305,59.38386
1563018,260.0377,337.9994,52.43542,59.38647
1563040,259.4832,338.1561,52.3763,59.39811
1563061,258.6913,338.3327,52.29159,59.41122
1563078,257.8398,338.6638,52.20014,59.43576
1563096,256.8612,339.0921,52.09458,59.46746
1563117,256.0696,339.5095,52.00883,59.49829
1563136,255.5517,339.7872,51.95253,59.51878
1563157,255.0536,340.058,51.89827,59.53873
1563176,254.6463,340.245,51.85379,59.55249
1563195,254.3559,340.3054,51.82204,59.55693
1563212,254.145,340.2355,51.79894,59.55179
