Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
2027880,321.6505,247.7917,58.12694,51.09198
2027897,321.7364,247.8074,58.1338,51.09375
2027913,321.7779,247.8413,58.13712,51.09758
2027930,321.7769,247.8125,58.13704,51.09433
2027948,321.7389,247.883,58.134,51.10229
2027964,321.6703,247.9962,58.12853,51.11507
2027981,321.6462,248.1419,58.1266,51.13151
2027997,321.6741,248.2216,58.12883,51.14051
2028014,321.717,248.3148,58.13226,51.15102
2028030,321.7354,248.4586,58.13372,51.16721
2028048,321.7668,248.5643,58.13623,51.17912
2028065,321.7315,248.5198,58.13341,51.17411
2028080,321.6414,248.5324,58.12622,51.17553
2028097,321.6181,248.556,58.12436,51.17818
2028114,321.5988,248.5582,58.12281,51.17843
2028131,321.6186,248.5748,58.12439,51.1803
2028151,321.645,248.644,58.1265,51.18809
2028165,321.7063,248.7767,58.1314,51.20303
2028182,321.7642,248.9174,58.13602,51.21885
2028198,321.8001,249.0258,58.13889,51.23103
2028214,321.8272,249.0027,58.14105,51.22843
2028232,321.8182,249.1348,58.14034,51.24326
2028248,321.8034,249.1493,58.13915,51.24489
2028265,321.7,249.1469,58.1309,51.24461
2028282,321.6919,249.1546,58.13025,51.24548
2028298,321.7225,249.2471,58.13269,51.25586
2028314,321.7044,249.259,58.13125,51.25719
2028332,321.7084,249.2438,58.13157,51.25549
2028349,321.7919,249.2357,58.13824,51.25459
2028366,321.8355,249.2428,58.14172,51.25538
2028383,321.7905,249.1416,58.13813,51.24402
2028400,321.7838,249.1789,58.13759,51.24821
2028416,321.7839,249.3254,58.1376,51.26465
2028433,321.7765,249.298,58.13701,51.26158
2028449,321.7597,249.2237,58.13567,51.25324
2028468,321.8086,249.2123,58.13957,51.25196
2028486,321.8404,249.2642,58.14211,51.25778
2028504,321.8434,249.3338,58.14234,51.26559
2028520,321.8279,249.399,58.14111,51.2729
2028537,321.8281,249.4254,58.14112,51.27586
2028555,321.8116,249.5386,58.13981,51.28855
2028570,321.8341,249.535,58.14161,51.28814
2028588,321.7758,249.6862,58.13695,51.30508
2028605,321.7575,249.7716,58.13549,51.31464
2028622,321.6924,249.8335,58.13029,51.32157
2028638,321.6205,249.8339,58.12455,51.32161
2028654,321.5096,249.9018,58.11568,51.32922
2028673,321.4397,249.8953,58.1101,51.32848
2028689,321.2953,249.8558,58.09855,51.32407
2028706,320.9259,249.7488,58.06897,51.3121
2028722,320.5509,249.6379,58.03889,51.29967
2028738,320.1162,249.7938,58.00397,51.31713
2028754,319.8167,249.9074,57.97986,51.32984
2028771,319.4438,249.7921,57.9498,51.31694
2028787,319.1942,249.5888,57.92965,51.29417
2028805,319.0966,249.207,57.92177,51.25137
2028821,318.9293,248.487,57.90825,51.17042
2028839,318.8689,247.8413,57.90337,51.09758
2028854,318.7706,247.4079,57.89541,51.04856
2028872,318.4673,247.3455,57.87085,51.0415
2028890,318.2374,247.3093,57.85221,51.0374
2028906,318.1429,247.4708,57.84455,51.05569
2028920,318.2527,247.547,57.85345,51.0643
2028938,318.4959,247.543,57.87317,51.06385
2028954,318.8645,247.6303,57.90301,51.07373
2028971,319.1101,247.9594,57.92286,51.11092
2028989,319.193,248.298,57.92956,51.14912
2029007,319.1599,248.4485,57.92688,51.16608
2029023,318.9814,248.4403,57.91246,51.16516
2029039,318.8784,248.535,57.90413,51.17583
2029054,318.7906,248.8059,57.89703,51.2063
2029073,318.7426,249.2311,57.89315,51.25407
2029091,318.7859,249.5118,57.89664,51.28555
2029107,318.8115,249.5924,57.89872,51.29458
2029123,318.8363,249.6611,57.90073,51.30227
2029140,318.8939,249.6351,57.90539,51.29937
2029157,318.8371,249.678,57.90079,51.30417
2029174,318.808,249.8819,57.89844,51.32699
