Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1503626,318.8252,244.4773,57.89983,50.71437
1503643,318.8192,244.4875,57.89935,50.71554
1503664,318.7697,244.5941,57.89534,50.72778
1503679,318.7162,244.5669,57.89101,50.72466
1503694,318.7007,244.4202,57.88975,50.70781
1503711,318.7036,244.3999,57.88999,50.70547
1503727,318.664,244.3752,57.88678,50.70264
1503747,318.7189,244.3745,57.89123,50.70255
1503767,318.8016,244.2899,57.89792,50.69284
1503778,318.7536,244.2878,57.89404,50.6926
1503795,318.7319,244.2392,57.89228,50.687
1503810,318.7137,244.1601,57.89081,50.6779
1503827,318.6403,244.1038,57.88486,50.67142
1503844,318.5722,244.1018,57.87935,50.6712
1503861,318.6114,244.0477,57.88252,50.66497
1503878,318.5978,244.0331,57.88143,50.66329
1503893,318.616,244.0439,57.8829,50.66454
1503910,318.6037,244.07,57.8819,50.66754
1503927,318.5584,244.12,57.87823,50.67329
1503945,318.5809,244.1567,57.88005,50.67751
1503961,318.5499,244.2058,57.87754,50.68317
1503978,318.5083,244.2932,57.87417,50.69322
1503992,318.4783,244.4768,57.87174,50.71431
1504016,318.3971,244.5986,57.86516,50.7283
1504029,318.2784,244.758,57.85554,50.74659
1504045,318.1906,245.0555,57.84841,50.78069
1504061,318.1262,245.4046,57.84319,50.82063
1504077,318.03,245.6613,57.83538,50.84996
1504094,317.9895,245.9431,57.8321,50.88211
1504110,317.902,246.2883,57.82499,50.92146
1504127,317.7948,246.5919,57.81628,50.95599
1504144,317.5098,246.9683,57.7931,50.99874
1504159,317.0313,247.6729,57.75412,51.07854
1504177,316.4669,248.4915,57.70803,51.17092
1504196,315.6171,249.3274,57.63842,51.26487
1504211,314.7641,250.228,57.56826,51.36567
1504227,313.6483,251.1771,57.4761,51.47141
1504246,312.0069,252.4178,57.33966,51.6089
1504261,310.4882,253.663,57.21251,51.74607
1504279,308.8516,254.9916,57.07451,51.89151
1504295,306.683,256.9384,56.89006,52.10293
1504313,304.3651,259.2665,56.69086,52.35315
1504330,302.2888,261.4373,56.51063,52.58394
1504346,300.4,263.9031,56.34515,52.84319
1504363,298.354,266.5642,56.16429,53.11954
1504377,295.9803,269.4949,55.95229,53.41982
1504392,293.4688,272.4653,55.72543,53.7199
1504413,290.7872,275.631,55.48027,54.03507
1504430,288.2642,278.735,55.24678,54.33952
1504447,286.0604,281.6171,55.04056,54.61823
1504463,284.0248,284.2985,54.84818,54.87415
1504476,281.7613,287.313,54.63208,55.15804
1504493,279.5866,290.1665,54.42227,55.42308
1504509,277.141,293.6823,54.18373,55.74482
1504529,275.4112,296.3,54.01334,55.98098
1504546,273.3396,299.4995,53.80742,56.26576
1504565,271.3954,302.2628,53.61231,56.50836
1504576,269.2531,304.9625,53.3952,56.7424
1504593,266.7458,307.6902,53.13826,56.97595
1504609,264.1821,310.4206,52.87233,57.20684
1504626,262.0202,312.8829,52.6455,57.41261
1504642,259.9893,315.2166,52.43027,57.60551
1504659,257.9427,317.7985,52.21122,57.81658
1504675,255.7751,320.538,51.97684,58.03786
1504693,254.2527,322.8846,51.81073,58.22525
1504710,253.1516,325.0505,51.68984,58.39647
1504727,252.4446,326.7922,51.61187,58.53296
1504744,251.8007,327.9801,51.54062,58.62545
1504759,250.9802,329.0485,51.44951,58.70822
1504777,250.207,330.125,51.36333,58.79121
1504793,249.5105,331.1698,51.28541,58.87139
1504809,248.8364,332.1882,51.20974,58.94918
1504826,248.4945,332.8506,51.17126,58.9996
1504843,248.3628,333.2252,51.15642,59.02804
1504863,248.2633,333.4709,51.14521,59.04668
1504877,248.18,333.7201,51.13581,59.06555
1504893,248.1889,333.9351,51.13682,59.08181
1504912,248.1937,334.1665,51.13736,59.09931
1504931,248.3127,334.3282,51.15078,59.11152
1504944,248.7016,334.1862,51.19457,59.1008
1504962,249.0562,334.1088,51.23443,59.09495
1504981,249.3437,334.2072,51.2667,59.10238
1504996,249.6362,334.3331,51.29948,59.11189
1505011,250.1261,334.282,51.35429,59.10803
1505032,250.4515,334.1799,51.39062,59.10032
1505044,250.7542,334.0287,51.42436,59.08889
1505060,250.9379,333.8564,51.4448,59.07586
1505084,250.9857,333.735,51.45013,59.06668
1505094,251.0665,333.5455,51.45911,59.05232
1505110,251.2129,333.0243,51.47539,59.01279
1505128,251.2123,332.629,51.47532,58.98275
1505144,251.021,332.4172,51.45405,58.96663
1505163,250.5884,332.2151,51.40588,58.95124
1505179,250.22,332.1071,51.36478,58.943
1505194,250.0262,331.8887,51.34312,58.92634
1505212,249.8664,331.7224,51.32526,58.91364
1505233,249.8216,331.5073,51.32024,58.89721
1505251,249.7759,331.1948,51.31513,58.8733
1505267,249.6894,331.0602,51.30544,58.863
1505283,249.4345,330.7654,51.27689,58.8404
1505296,249.0927,330.4095,51.23853,58.81308
1505314,248.3913,329.7375,51.15963,58.76139
1505333,246.5474,327.6023,50.95094,58.59609
1505350,244.0811,325.1989,50.66882,58.40814
1505365,241.0508,323.028,50.31749,58.23664
1505383,237.2781,321.3853,49.87271,58.10575
1505399,234.2094,320.2196,49.50476,58.01228
1505417,231.0905,318.7551,49.12507,57.89416
1505432,228.0642,316.637,48.75098,57.72194
1505450,225.7042,314.7998,48.45535,57.57121
1505466,223.6357,312.8322,48.19336,57.40839
1505481,221.5961,310.7658,47.93239,57.23582
1505499,219.6664,308.7808,47.68303,57.06852
1505514,217.7091,306.7647,47.42764,56.89704
1505532,215.9021,304.7519,47.18965,56.72425
1505549,214.1214,302.688,46.95301,56.54541
1505565,212.3189,300.7808,46.71132,56.37864
1505580,210.5109,298.9476,46.46671,56.21694
1505598,208.7465,297.0172,46.22585,56.04519
1505614,206.8723,295.0567,45.96767,55.86917
1505632,205.0742,293.1105,45.71769,55.69286
1505649,203.2637,291.2662,45.46369,55.52428
1505664,201.2259,289.0738,45.17506,55.322
1505681,199.1159,286.7621,44.87309,55.10645
1505697,197.0047,284.3069,44.56773,54.87495
1505718,194.5824,281.6262,44.21338,54.6191
1505734,192.3161,279.313,43.87794,54.39572
1505750,190.1574,277.4633,43.55489,54.21533
1505767,187.7226,275.7076,43.18631,54.04263
1505786,185.8087,274.4445,42.89342,53.9175
1505800,183.998,273.4507,42.61374,53.81852
1505816,182.2346,272.7652,42.33894,53.74996
1505832,180.3335,271.5261,42.03995,53.62548
1505850,179.035,270.3315,41.83411,53.50476
1505865,178.0799,269.0839,41.68185,53.37796
1505886,177.4371,267.9274,41.57897,53.25974
1505900,177.0017,267.1362,41.5091,53.17847
1505925,176.4905,266.17,41.42687,53.07882
