Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
438813.3,322.5938,246.3291,58.20214,50.9261
438831.9,322.5659,246.3428,58.19991,50.92765
438848.7,322.5083,246.3213,58.19533,50.92521
438863.8,322.5011,246.3265,58.19476,50.9258
438886,322.5246,246.3477,58.19663,50.92821
438897.3,322.5491,246.3452,58.19858,50.92793
438912.1,322.5621,246.3216,58.19962,50.92524
438931.9,322.5938,246.3569,58.20214,50.92926
438948.3,322.5971,246.3652,58.2024,50.93021
438963.8,322.5451,246.3866,58.19826,50.93264
438980.5,322.5056,246.3696,58.19511,50.93071
438999.1,322.4767,246.3953,58.19282,50.93363
439013.7,322.502,246.4562,58.19483,50.94056
439031.3,322.5378,246.4513,58.19768,50.94
439047.3,322.6436,246.4554,58.2061,50.94047
439063.9,322.6436,246.452,58.2061,50.94007
439082,322.6372,246.4158,58.20559,50.93597
439097.4,322.6678,246.3628,58.20802,50.92993
439113.1,322.72,246.2605,58.21217,50.91829
439129.7,322.6835,246.2335,58.20927,50.91521
439147.7,322.668,246.2109,58.20803,50.91264
439163.4,322.6946,246.2388,58.21015,50.91582
439180,322.707,246.2168,58.21114,50.91331
439195.7,322.7694,246.0977,58.21609,50.89974
439212.5,322.7264,246.0301,58.21268,50.89204
439229.8,322.7732,246.0371,58.2164,50.89283
439270.2,322.6255,246.0969,58.20465,50.89965
439292,322.6047,246.1709,58.203,50.90809
439305.9,322.6249,246.2128,58.20461,50.91286
439315.8,322.6224,246.2264,58.20441,50.9144
439326.7,322.585,246.2613,58.20143,50.91838
439343.3,322.6318,246.3064,58.20515,50.92351
439351.7,322.6566,246.3271,58.20712,50.92587
439365.3,322.6802,246.3698,58.209,50.93073
439381.3,322.7431,246.4062,58.21401,50.93487
439397.8,322.7625,246.5009,58.21555,50.94564
439413,322.7311,246.6025,58.21305,50.9572
439432.6,322.7045,246.7843,58.21094,50.97785
439446.3,322.6385,247.0236,58.20569,51.00501
439463,322.5241,247.3609,58.19659,51.04324
439480,322.144,248.1384,58.16632,51.13112
439497,321.6334,249.0944,58.12558,51.23873
439512.6,320.8566,250.4912,58.06342,51.39504
439529.5,319.4564,252.7442,57.95082,51.64494
439547.8,318.1939,255.0573,57.84868,51.89868
439566.4,316.8437,257.5617,57.73881,52.1702
439582.7,314.9605,260.1767,57.58445,52.45022
439601.6,313.1581,262.2063,57.43546,52.66512
439617.5,311.6898,263.9059,57.31318,52.84348
439630.5,309.4396,266.342,57.12422,53.0966
439649.4,307.6331,268.9167,56.97109,53.36091
439666,305.9904,271.9014,56.83075,53.66326
439687.3,304.9738,273.6596,56.74338,53.83936
439699,303.6975,275.8189,56.6331,54.05363
439714.9,302.3106,278.5651,56.51253,54.32298
439732.3,300.8499,281.1152,56.3847,54.56997
439751.3,299.3392,283.8064,56.25159,54.82742
439766.6,297.8612,286.3691,56.12047,55.06958
439783.4,296.4993,289.0665,55.99884,55.32132
439798.8,295.2586,292.0066,55.88737,55.59213
439816.7,293.7431,295.0241,55.75034,55.86623
439833.6,292.0426,298.1848,55.59543,56.14925
439850.8,290.5925,301.0466,55.46234,56.40197
439867.3,289.1814,303.9252,55.33198,56.65282
439883.6,287.6547,307.3518,55.18996,56.94714
439900,286.3721,310.4763,55.06986,57.21151
439915.5,284.9349,313.7225,54.93442,57.48224
439932.8,283.5721,316.5992,54.80515,57.71885
439950.3,282.421,318.917,54.6953,57.90725
439965.5,281.1192,321.7523,54.57035,58.13507
439983.4,280.0049,324.2871,54.4628,58.33632
439997.8,278.8403,327.1657,54.34977,58.5621
440014.7,277.7442,330.205,54.24283,58.79737
440032.3,276.7627,333.1801,54.14659,59.02462
440050.1,275.8724,336.1546,54.05891,59.24886
440065.3,275.0633,338.725,53.9789,59.4403
440081.9,274.384,341.205,53.91149,59.62297
440103.6,273.6751,343.7918,53.84091,59.81141
440115.8,273.0554,346.1448,53.77901,59.98098
440132.7,272.347,349.0007,53.70803,60.1845
440149.8,271.7939,351.5313,53.65244,60.36275
440165.6,271.2693,353.7018,53.59959,60.51409
440183.1,270.3634,356.0223,53.508,60.67435
440197.8,269.4302,358.152,53.41323,60.82004
440214,268.4166,360.5918,53.30982,60.98533
440232.8,267.6837,362.5785,53.23473,61.11866
