Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1546833,321.5482,250.3004,58.11877,51.37375
1546875,321.3709,249.6742,58.1046,51.30373
1546895,321.1013,249.4185,58.08302,51.27509
1546929,320.5649,249.6942,58.04002,51.30598
1546964,320.3188,249.5421,58.02025,51.28894
1546995,320.1198,249.3667,58.00426,51.26928
1547028,320.0579,249.1653,57.99927,51.24668
1547063,319.9225,249.6203,57.98838,51.2977
1547092,319.5877,249.7328,57.96141,51.31031
1547127,319.3232,249.9818,57.94007,51.33816
1547162,319.175,249.7239,57.92811,51.30931
1547191,318.8492,249.5879,57.90178,51.29408
1547225,318.5964,249.599,57.88131,51.29532
1547259,317.9364,249.638,57.82778,51.29969
1547289,317.124,249.6048,57.76168,51.29597
1547321,316.0854,249.7003,57.67682,51.30667
1547356,314.7439,249.7329,57.5666,51.31031
1547387,313.1669,249.4476,57.43619,51.27835
1547420,311.1374,249.4197,57.26697,51.27522
1547452,308.3831,249.6926,57.03481,51.3058
1547486,303.9836,250.7999,56.65788,51.42944
1547525,300.0792,251.6005,56.31691,51.51843
1547549,293.0194,253.232,55.68456,51.69868
1547585,286.8623,254.118,55.11585,51.79598
1547619,281.0846,254.5323,54.56702,51.84133
1547650,275.3615,255.5453,54.00842,51.95184
1547684,269.8004,256.7487,53.45088,52.08241
1547719,264.9187,256.6367,52.94907,52.0703
1547750,260.8234,256.8711,52.51892,52.09565
1547785,257.826,257.7019,52.19866,52.1853
1547817,254.648,258.0814,51.85398,52.22613
1547846,252.0346,258.401,51.56652,52.26046
1547882,248.9984,258.7558,51.22794,52.2985
1547927,246.7485,259.3455,50.97379,52.3616
1547948,244.3884,260.5299,50.70415,52.48777
1547983,242.1804,261.7787,50.44906,52.62003
1548015,239.865,262.8796,50.17857,52.73595
1548048,237.3719,263.495,49.88386,52.80049
1548082,235.1544,263.9721,49.61867,52.8504
1548115,233.1718,264.3399,49.37909,52.88879
1548147,231.7209,263.7697,49.20228,52.82925
1548181,230.6077,263.0845,49.06575,52.75747
1548211,229.7262,262.3756,48.95712,52.68296
1548244,229.063,261.6785,48.87506,52.60944
1548276,227.9412,261.6423,48.73566,52.60561
1548309,227.7758,261.7033,48.71505,52.61206
1548341,228.2179,261.977,48.77011,52.64095
1548373,228.7555,261.4902,48.83694,52.58954
1548407,230.0614,259.9818,48.99848,52.42947
1548441,231.3514,258.3602,49.15705,52.25608
1548471,232.6631,256.9622,49.31725,52.1055
1548507,234.1858,255.2112,49.50192,51.91545
1548538,236.8595,252.3144,49.82284,51.59748
1548570,239.704,251.4338,50.15965,51.49993
1548604,241.2443,250.8901,50.34008,51.43949
1548634,243.1963,249.2208,50.56677,51.25292
1548667,244.9111,247.3286,50.76414,51.03959
1548703,246.583,245.429,50.95498,50.82343
1548733,248.7486,243.1628,51.19986,50.5629
1548767,252.033,239.0744,51.56635,50.08551
1548801,256.3491,235.4592,52.03914,49.65529
1548832,260.8985,232.6798,52.52689,49.31928
1548865,264.8608,229.3512,52.94305,48.91075
1548898,267.4256,225.5095,53.20823,48.43081
1548931,269.431,221.8908,53.41331,47.97027
1548965,270.7286,217.487,53.54496,47.39851
1549001,271.4451,213.6785,53.61731,46.89383
1549029,271.937,210.3019,53.66684,46.43828
1549063,272.8647,206.1598,53.75993,45.86887
1549097,273.8713,202.5355,53.86047,45.36089
1549127,275.0104,199.2705,53.97366,44.89531
1549162,277.2523,196.5484,54.19466,44.5013
1549192,279.4236,194.0653,54.40646,44.13717
1549226,282.1599,192.0338,54.6703,43.8359
1549257,284.9802,191.2419,54.9387,43.71763
1549290,287.2416,190.1118,55.15136,43.54803
1549325,289.0814,189.3049,55.3227,43.42635
1549357,290.4209,188.6811,55.44654,43.33195
1549389,291.2581,188.2238,55.52354,43.26255
1549425,291.3889,188.0376,55.53555,43.23425
1549454,291.391,187.9002,55.53574,43.21334
1549488,291.2747,188.2321,55.52507,43.2638
1549519,291.1364,188.4878,55.51237,43.30263
1549550,291.3363,188.9211,55.53072,43.3683
1549586,291.6667,189.4306,55.56101,43.44534
1549619,291.9977,190.537,55.59132,43.61195
1549649,292.7533,192.3899,55.66032,43.88894
1549682,293.2981,194.9454,55.70992,44.26676
1549714,294.8509,199.7591,55.85061,44.96547
1549750,297.5013,206.0678,56.0884,45.8561
1549781,300.8221,212.321,56.38226,46.71161
1549813,304.6769,218.4958,56.71778,47.53059
1549845,308.6872,225.0341,57.0606,48.37078
1549876,313.2389,229.8433,57.44217,48.97158
1549909,316.6461,233.7635,57.72268,49.45084
1549946,319.3588,236.3381,57.94294,49.76059
1549973,321.985,238.7463,58.15364,50.04678
1550011,324.061,241.2411,58.31845,50.3397
1550041,326.9305,243.8682,58.54375,50.64431
1550078,330.1664,245.6308,58.7944,50.84648
1550108,335.2231,248.312,59.17896,51.1507
1550142,343.0189,251.5249,59.75533,51.51004
1550174,351.9603,254.5294,60.39277,51.84101
1550206,361.1559,257.0663,61.0233,52.11674
1550242,371.1936,258.2395,61.6841,52.24312
1550270,380.8654,259.9273,62.29514,52.42366
1550305,389.3848,261.034,62.81358,52.54126
1550339,397.9938,262.5559,63.31954,52.70193
1550368,404.9403,264.8435,63.71524,52.94125
1550403,410.656,267.0006,64.03273,53.16452
1550436,415.299,269.0578,64.28543,53.3753
1550469,418.8258,270.7345,64.47433,53.54557
1550502,421.2358,272.649,64.60194,53.73832
1550534,423.0975,274.4016,64.6997,53.91324
1550567,425.2453,276.3946,64.81161,54.11038
1550597,426.9522,277.8791,64.89989,54.25602
1550629,428.5163,278.7295,64.98029,54.33899
1550662,429.7003,278.7822,65.04081,54.34412
1550704,430.3192,278.7309,65.07235,54.33912
1550729,430.3908,278.5141,65.076,54.318
1550763,429.9254,277.9182,65.05229,54.25984
1550793,428.7251,277.5827,64.99097,54.22702
1550829,427.2394,277.1758,64.91469,54.18715
1550862,425.8564,276.5035,64.84328,54.1211
1550893,423.9859,275.3426,64.7461,54.00655
1550926,422.585,274.128,64.67286,53.88603
1550960,422.1486,273.6035,64.64996,53.83377
1550990,421.2779,273.3332,64.60416,53.80678
1551024,419.3517,273.4528,64.50228,53.81873
1551055,415.182,273.2036,64.27912,53.79383
1551087,406.997,272.9486,63.83031,53.76833
1551125,394.9765,273.1166,63.1442,53.78513
1551159,380.5512,272.7018,62.27568,53.74361
1551188,364.202,272.6471,61.22679,53.73813
1551218,346.9814,273.4974,60.04086,53.82318
1551258,327.7269,275.5506,58.60577,54.02712
1551285,307.6317,275.2164,56.97097,53.99406
1551319,286.3499,275.5216,55.06777,54.02425
1551352,265.4582,277.4965,53.00511,54.21859
1551383,245.5676,281.6516,50.83926,54.62154
1551418,230.5749,284.8115,49.06172,54.92274
1551448,219.5252,286.8604,47.6647,55.11567
1551482,210.9699,289.0229,46.52902,55.31728
1551515,204.325,291.0412,45.61287,55.50362
1551549,200.5813,292.8828,45.08315,55.67212
1551583,199.3295,294.5522,44.9038,55.82362
1551615,199.0647,294.6108,44.86572,55.82892
1551647,199.3508,294.2664,44.90686,55.79777
1551679,200.4826,294.9047,45.06905,55.85546
1551712,202.4413,295.0717,45.34756,55.87053
1551746,203.9051,294.9344,45.55394,55.85815
1551777,205.2629,294.8801,45.74402,55.85324
1551811,206.6101,295.4203,45.93135,55.90194
1551846,207.6913,295.8812,46.08078,55.94339
1551875,208.5825,296.5256,46.20335,56.0012
1551909,209.1453,297.7058,46.28048,56.10663
1551944,209.3387,299.0439,46.30692,56.22546
1551972,209.6056,300.7183,46.34338,56.37314
1552006,209.2702,302.7729,46.29755,56.55281
1552039,207.4881,304.7723,46.05276,56.72601
1552072,206.83,305.9388,45.96182,56.82633
1552107,206.7129,306.3467,45.94559,56.86129
1552137,207.0075,306.6501,45.98638,56.88724
1552177,207.7507,306.3513,46.08897,56.86168
1552205,208.7173,306.3692,46.22184,56.86321
1552232,209.753,306.6281,46.36351,56.88536
1552266,210.4493,306.6471,46.45833,56.88698
1552299,210.9858,306.7845,46.53118,56.89873
1552332,211.2258,306.8274,46.56369,56.90239
1552367,211.2209,306.9197,46.56303,56.91028
1552399,211.0555,307.3058,46.54062,56.94321
1552430,211.4051,307.8824,46.58797,56.99229
1552466,211.888,308.1406,46.65323,57.01424
