Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
2093041,306.8025,229.3251,56.90027,48.90752
2093063,307.579,228.1804,56.96649,48.76545
2093086,307.4696,228.2748,56.95717,48.77719
2093111,307.7555,228.8783,56.98151,48.85217
2093135,308.455,228.8428,57.04091,48.84776
2093155,308.6021,228.692,57.05339,48.82906
2093181,308.1956,228.5917,57.01891,48.81659
2093203,307.8691,228.9007,56.99117,48.85495
2093231,307.7501,228.9486,56.98104,48.86089
2093254,307.437,228.7389,56.9544,48.83487
2093279,306.4744,228.1553,56.87222,48.76233
2093302,305.7999,227.4364,56.81441,48.67267
2093327,305.2648,226.6459,56.76843,48.57373
2093351,304.7764,226.0315,56.72636,48.49656
2093378,303.4272,224.4709,56.60966,48.29948
2093403,302.2921,223.6828,56.51091,48.19936
2093425,301.2625,222.7162,56.4209,48.07605
2093451,300.3597,222.284,56.34161,48.02071
2093476,299.4803,220.8446,56.26406,47.83556
2093499,298.6637,219.4902,56.19178,47.66014
2093524,297.4727,218.2667,56.08585,47.50066
2093549,296.024,216.3919,55.95621,47.25438
2093576,295.1707,215.2794,55.87946,47.10714
2093598,294.2942,213.964,55.80028,46.93199
2093621,293.7263,211.952,55.74881,46.66186
2093647,292.7271,209.5023,55.65792,46.32928
2093671,291.4117,206.4946,55.53764,45.91534
2093695,289.8416,203.301,55.39307,45.46896
2093719,288.5981,201.4376,55.27784,45.20518
2093744,287.2701,200.2238,55.15402,45.03204
2093769,285.9552,200.2511,55.03066,45.03595
2093795,283.8992,200.3284,54.83624,45.047
2093819,282.1934,199.1024,54.67351,44.87115
2093840,280.45,197.0371,54.50583,44.57243
2093867,277.9309,194.7483,54.26109,44.23779
2093890,275.0803,192.5231,53.98058,43.90874
2093917,272.4726,191.3829,53.72063,43.73872
2093940,270.4669,190.4516,53.51848,43.59913
2093965,268.6656,189.3769,53.33528,43.43723
2093988,267.0762,189.2593,53.1723,43.41946
2094015,265.2666,188.7565,52.98522,43.34338
2094036,263.0556,187.7609,52.75443,43.19215
2094062,259.4736,186.3139,52.37528,42.971
2094086,255.6499,185.2464,51.96322,42.80684
2094111,251.2147,183.8277,51.47559,42.58731
2094138,247.0349,183.1748,51.00629,42.48576
2094162,243.3238,183.084,50.58151,42.4716
2094187,240.6463,182.3476,50.27019,42.35661
2094209,238.1351,181.5751,49.97446,42.23554
2094235,235.6109,179.593,49.6735,41.92273
2094258,233.9905,179.1065,49.47832,41.84549
2094283,232.3569,178.1747,49.27995,41.69699
2094305,231.1889,177.9814,49.13713,41.6661
2094329,230.2659,177.8106,49.02369,41.63879
2094356,229.254,177.9517,48.89873,41.66136
2094378,228.1083,177.8141,48.75648,41.63935
2094402,227.1918,177.1747,48.6421,41.53688
2094426,226.7363,177.0769,48.58507,41.52119
2094454,226.4887,177.0147,48.55401,41.51119
2094476,225.7055,176.5624,48.45551,41.43845
2094508,224.6556,175.9276,48.32288,41.33609
2094525,223.5092,175.6685,48.17726,41.29422
2094550,222.5711,175.8934,48.05748,41.33057
2094575,221.8049,176.4107,47.95922,41.41401
2094599,220.7189,175.931,47.81934,41.33663
2094623,219.8009,175.4442,47.70049,41.25792
2094646,219.0885,175.4852,47.60789,41.26456
2094672,218.5103,175.8387,47.53249,41.32172
2094695,217.8692,175.3783,47.44863,41.24725
2094721,217.425,175.0707,47.39037,41.1974
2094744,216.9359,174.7353,47.32607,41.14295
2094769,216.7033,175.3871,47.29544,41.24867
2094791,216.2485,176.1976,47.23544,41.37967
2094821,214.9773,176.5609,47.06701,41.43822
2094842,213.8122,176.3686,46.91171,41.40724
2094866,212.4649,176.2344,46.73098,41.38559
2094889,211.1436,175.6488,46.55256,41.29103
2094915,209.2877,174.97,46.29996,41.18106
2094938,206.8005,173.9858,45.95773,41.02095
2094965,204.2951,172.2318,45.60867,40.73368
2094987,202.2112,170.9833,45.31498,40.52768
2095014,200.9136,170.6985,45.13057,40.48051
2095038,199.7785,170.267,44.96826,40.40891
2095057,198.8268,170.083,44.83145,40.37833
2095084,197.9284,170.0175,44.70172,40.36744
2095107,197.2151,169.6388,44.5983,40.30441
2095133,197.0005,170.4931,44.56711,40.44645
2095158,196.7121,171.0342,44.52515,40.53611
2095180,195.943,170.7712,44.41294,40.49256
2095205,195.1614,171.0277,44.29847,40.53503
2095227,194.3653,171.2905,44.18142,40.57848
2095257,193.3556,170.832,44.03228,40.50262
2095276,192.3357,171.0055,43.88086,40.53135
2095303,191.2598,171.1662,43.72031,40.55793
2095324,190.3698,171.4974,43.58684,40.61266
2095350,189.269,171.5342,43.42093,40.61873
2095375,188.327,171.2192,43.27822,40.56671
2095397,187.4489,170.9905,43.14459,40.52888
2095421,186.8864,171.37,43.05869,40.59163
2095445,186.6459,171.5376,43.02189,40.61929
2095471,186.3286,171.7729,42.97326,40.6581
2095493,186.0734,171.8292,42.9341,40.66739
2095520,185.9982,172.1227,42.92255,40.71573
2095543,186.101,173.0288,42.93833,40.86452
2095568,186.5092,174.0038,43.00095,41.02388
2095592,187.0326,175.1108,43.08104,41.2039
2095614,187.6322,176.0581,43.17255,41.35715
2095642,188.1535,177.6433,43.25186,41.61201
2095664,188.393,179.4271,43.28825,41.89641
2095688,188.3109,181.0774,43.27577,42.15728
2095711,188.0464,182.0955,43.23559,42.31715
2095737,187.8625,183.2793,43.20761,42.50204
2095760,187.8097,184.4238,43.19957,42.67974
2095785,187.7193,185.5236,43.1858,42.84955
2095808,187.528,186.4405,43.15666,42.99042
2095834,187.0346,187.2764,43.08135,43.11827
2095860,186.7856,188.3409,43.04326,43.28033
2095882,186.4684,189.2605,42.9947,43.41963
2095906,186.2406,189.918,42.95977,43.51885
2095928,186.104,191.1561,42.9388,43.70478
2095955,186.2555,192.682,42.96205,43.93237
2095979,186.68,194.6712,43.02711,44.22644
2096004,187.6118,197.304,43.16944,44.61121
2096027,188.9827,200.3647,43.37762,45.05219
2096052,191.6215,204.6888,43.77438,45.66381
2096077,194.145,208.0943,44.14894,46.13627
2096100,196.6815,211.0919,44.5207,46.54556
2096124,198.9555,214.4274,44.84999,46.99383
2096148,201.2097,218.2364,45.17275,47.49669
2096174,203.7523,222.3723,45.53247,48.03203
2096196,206.4928,226.7455,45.91509,48.58622
2096223,209.5355,232.0544,46.33382,49.24303
2096245,212.7968,237.9828,46.77562,49.95642
2096270,216.4882,244.1374,47.26708,50.67529
2096294,219.6216,249.9426,47.67722,51.33377
2096321,223.562,256.3304,48.18398,52.03712
2096343,227.2292,261.6558,48.64679,52.60704
2096368,231.3006,266.6057,49.15082,53.12382
2096394,234.62,269.9165,49.55433,53.46267
2096418,238.0065,273.0088,49.95922,53.77435
2096441,241.3102,276.3906,50.34776,54.10999
2096467,244.344,279.1438,50.69905,54.37929
2096490,247.6705,282.1416,51.07827,54.66854
2096514,250.7185,283.9105,51.42037,54.83732
2096538,254.071,285.2573,51.79083,54.96488
2096563,256.9226,285.6562,52.10122,55.00251
2096589,260.0393,286.3927,52.43559,55.07179
2096613,262.8912,286.9558,52.73718,55.1246
2096637,266.2232,288.0669,53.08432,55.2284
2096662,269.0297,289.348,53.37243,55.34742
2096686,272.1268,290.4615,53.68592,55.45028
2096711,275.1029,291.5203,53.98283,55.54759
2096735,278.1365,292.1615,54.28117,55.6063
2096760,281.2876,293.452,54.58656,55.72391
2096784,283.8732,294.7188,54.83378,55.83867
2096809,286.5471,295.4235,55.08629,55.90223
2096833,289.1486,295.774,55.32893,55.93376
2096862,291.8402,296.0395,55.5769,55.95761
2096882,294.1451,296.4667,55.78678,55.99593
2096908,296.4185,297.2191,55.9916,56.06322
2096929,298.4952,298.0497,56.17683,56.13724
2096955,300.6525,298.4192,56.36736,56.17008
2096981,302.5038,298.5585,56.52937,56.18245
2097005,304.4197,299.12,56.69558,56.2322
2097028,306.2256,299.5392,56.85092,56.26927
2097052,307.9914,300.0194,57.00157,56.31164
2097082,309.7817,300.0851,57.15307,56.31744
2097102,311.8033,300.1829,57.32267,56.32605
2097126,314.0237,300.0748,57.50716,56.31653
2097150,315.8929,299.4021,57.66103,56.25716
2097175,317.8267,298.5401,57.81887,56.18081
2097199,319.7505,298.472,57.97453,56.17477
2097229,321.7878,298.0381,58.13791,56.13621
2097264,324.1084,297.4881,58.3222,56.08723
2097283,325.4825,297.5944,58.43042,56.0967
2097299,327.1728,297.7789,58.56265,56.11314
2097326,329.0367,298.2438,58.7073,56.1545
2097348,330.604,298.6174,58.82802,56.18767
2097377,332.3499,298.5121,58.9615,56.17832
2097401,334.05,298.9175,59.09051,56.21428
2097423,335.7424,299.1261,59.21796,56.23275
2097447,337.261,298.4696,59.33153,56.17455
2097475,338.8471,297.6798,59.44934,56.10432
2097495,340.5024,297.016,59.57141,56.04508
2097521,342.4985,296.358,59.71746,55.98618
2097545,344.5711,295.6416,59.86776,55.92185
2097570,346.6844,295.1664,60.01963,55.87907
2097597,348.9603,294.8263,60.18164,55.84838
2097621,351.1881,294.6389,60.33869,55.83146
2097644,353.2562,293.8889,60.48314,55.76357
2097670,355.0417,292.7106,60.60683,55.65642
2097696,356.8054,291.063,60.72807,55.50563
2097718,358.3976,289.8252,60.83676,55.39156
2097744,359.9835,287.7292,60.94428,55.19691
2097767,361.2753,285.8483,61.03133,55.0206
2097793,362.7482,283.0097,61.13,54.75155
2097817,364.0744,281.3227,61.21832,54.58994
2097840,365.5507,278.9518,61.31606,54.36062
2097865,366.91,277.0938,61.40552,54.17911
2097888,368.2338,275.1905,61.49215,53.9915
2097913,369.4802,273.6392,61.57327,53.83733
2097937,370.5228,272.0972,61.64081,53.68294
2097963,371.4152,270.5845,61.69838,53.53039
2097987,372.0796,269.0587,61.74111,53.37539
2098013,372.7528,267.1005,61.78428,53.17479
2098035,373.2284,265.4717,61.8147,53.00651
2098062,373.651,263.2073,61.84169,52.77034
2098084,373.9796,261.3387,61.86264,52.57352
2098110,374.3782,259.0772,61.88802,52.33292
2098133,374.895,256.9051,61.92085,52.09932
2098158,375.4302,254.7345,61.95478,51.86344
2098182,375.9868,253.0783,61.98999,51.68176
2098208,376.5853,251.4102,62.02776,51.49731
2098231,377.0599,249.9013,62.05764,51.32916
2098257,377.6231,248.7963,62.09303,51.20522
2098281,378.3173,247.0659,62.13652,51.0098
2098305,378.9666,245.2252,62.1771,50.80011
2098330,379.5453,243.9182,62.21318,50.65006
2098353,380.0117,242.6344,62.24219,50.50174
2098379,380.5555,240.8302,62.27594,50.2917
2098402,381.0055,239.2185,62.30381,50.1025
2098429,381.5066,237.6121,62.33479,49.91241
2098452,382.0278,235.506,62.36695,49.66092
2098479,382.6515,233.4085,62.40533,49.40782
2098501,383.1336,231.399,62.43494,49.16288
2098527,383.5245,229.9275,62.4589,48.98197
2098549,383.866,228.4652,62.4798,48.80088
2098577,384.0745,227.1125,62.49255,48.63218
2098600,384.0789,226.1929,62.49282,48.51685
2098626,384.1138,225.1133,62.49495,48.38078
2098649,384.1237,224.4935,62.49556,48.30233
2098673,384.0129,224.2679,62.48878,48.27372
2098699,383.8625,223.7107,62.47959,48.20292
2098722,383.6487,223.7833,62.46651,48.21214
2098747,383.1758,224.3104,62.43753,48.27911
2098769,382.7567,224.2712,62.4118,48.27414
2098796,382.7469,222.836,62.4112,48.09136
2098820,382.8235,220.6174,62.4159,47.80622
2098845,382.7803,218.7752,62.41325,47.56705
2098869,382.5477,216.901,62.39896,47.32148
2098895,382.2235,214.9145,62.37901,47.05866
2098917,381.6502,213.3725,62.34366,46.85285
2098943,381.0173,211.2278,62.30454,46.56396
2098968,380.4988,209.9605,62.27242,46.3918
2098991,379.9483,208.7956,62.23825,46.23258
2099016,379.3016,207.6824,62.198,46.07956
2099042,378.4721,206.3997,62.14621,45.90219
2099067,377.677,205.8808,62.09641,45.83009
2099088,376.8745,205.0356,62.04597,45.7123
2099115,375.6803,203.9061,61.97061,45.55408
2099137,374.2003,203.0043,61.87669,45.42712
2099164,372.3137,201.9237,61.75613,45.27423
2099186,370.2515,200.71,61.62326,45.10152
