Time (ms), X, Y, Event
85128.66,323.1249,253.2917,0
85143.62,322.8324,253.2097,0
85160.7,322.4366,253.31,0
85177.52,322.142,253.5817,0
85192.05,322.0522,253.7445,0
85210.14,321.6031,253.4571,0
85226.3,320.4003,252.6095,0
85243.61,321.4811,252.5928,0
85260.98,321.4903,253.0006,0
85276.9,320.9283,253.3605,0
85292.02,321.1101,253.101,0
85309.64,321.2899,253.0815,0
85329.68,321.3135,252.9606,0
85349.26,321.2707,253.0068,0
85363.45,321.373,253.2452,0
85382.09,322.065,254.2742,0
85393.63,322.2234,253.3547,0
85410.67,322.0555,253.9406,0
85427.91,322.6001,253.394,0
85444.22,322.4254,253.4674,0
85461.14,322.3369,253.6392,0
85480.99,322.2043,253.7189,0
85495.55,321.9637,253.6843,0
85512.55,321.713,253.6338,0
85530.31,321.5087,253.7623,0
85547.34,321.4391,253.9994,0
85566.12,321.4391,253.9994,1
85566.12,321.3852,254.1038,0
85584.53,321.4044,254.0094,0
85598.18,321.4237,253.9517,0
85614.63,321.5809,254.1161,0
85631.49,321.8123,254.5192,0
85647.96,321.9522,254.9718,0
85665.45,321.8883,255.1614,0
85681.21,321.7713,255.1655,0
85698.25,321.6295,255.1,0
85714.62,321.5164,255.2618,0
85730.27,321.409,255.517,0
85749.14,321.3802,255.764,0
85765.02,321.4554,255.8337,0
85786.57,321.5154,255.6827,0
85800.46,321.5203,255.5032,0
85815.38,321.4475,255.4571,0
85831.34,321.4088,255.4704,0
85851.05,321.5722,255.5971,0
85868.72,321.7749,255.8034,0
85886.45,321.8829,255.9153,0
85901.05,321.8342,255.9574,0
85920.41,321.8132,256.0182,0
85935.17,321.866,256.089,0
85949.55,322.0563,256.153,0
85971.48,322.2643,256.2769,0
85983.62,322.4055,256.3604,0
86001.73,322.5544,256.4768,0
86020.57,322.7119,256.541,0
86033.95,322.7029,256.7967,0
86050.55,322.7828,257.127,0
86069.23,323.1249,257.5927,0
86086.18,323.4718,258.2107,0
86101.33,323.7972,258.7634,0
86118.63,323.9503,259.0087,0
86134.5,323.676,258.8544,0
86152.44,323.4027,258.6406,0
86169.41,323.0611,258.3987,0
86188.13,322.6336,257.9646,0
86201.79,322.106,257.2943,0
86218.31,321.6749,256.8609,0
86234.99,321.3024,256.6219,0
86251.71,321.1133,256.4121,0
86269.97,320.9655,256.3079,0
86286.45,320.973,256.2344,0
86302.56,321.1097,256.3307,0
86319.62,321.3986,256.5562,0
86335.8,321.8834,256.9796,0
86353.71,322.3355,257.3703,0
86369,322.8416,257.7975,0
86386.55,323.4751,258.247,0
86403.36,323.9576,258.4681,0
86419.27,324.5128,258.6304,0
86435.34,325.272,258.7793,0
86454.13,326.3691,259.1292,0
86469.87,328.5648,259.8337,0
86487.04,331.0094,260.7227,0
86502.83,334.9442,261.8699,0
86519.1,339.4153,262.8885,0
86536.7,346.004,263.6541,0
86554.2,351.9724,263.7809,0
86571.72,356.8282,263.5903,0
86587.71,360.9525,263.368,0
86604.73,364.2703,263.5864,0
86620.01,367.3781,263.8932,0
86636.54,368.7078,263.7439,0
86655.59,369.456,263.1974,0
86671.56,369.278,262.6799,0
86688.91,369.5775,262.7959,0
86706.51,369.7995,263.3425,0
86725.6,369.8351,264.3565,0
86741.3,370.4658,265.4608,0
86756.27,371.1049,266.5285,0
86773.83,371.4048,267.1199,0
86789.38,371.9052,267.6212,0
86805.96,373.1753,268.1656,0
86823.62,374.1588,268.8373,0
86838.65,375.3528,270.0432,0
86855.12,376.6922,271.0434,0
86873.22,377.9701,271.7579,0
86889.25,379.7784,272.5955,0
86906.31,381.6285,273.8788,0
86921.72,383.66,275.6623,0
86938.48,386.3272,278.0295,0
86955.54,389.6388,280.8316,0
86974.01,392.404,283.2791,0
86989.86,395.3358,286.0259,0
87006.66,398.9493,288.9723,0
87022.55,402.7484,291.6078,0
87040.74,406.5452,293.902,0
87054.64,410.6921,296.1122,0
87075.02,413.6688,297.5229,0
87088.89,416.4912,298.7881,0
87107.8,419.4636,300.4429,0
87121.5,422.611,302.652,0
87141.27,425.8123,305.2726,0
87156.16,428.2648,307.9874,0
87175.37,431.2022,310.9537,0
87193.78,434.1126,313.6396,0
87209.19,437.4985,316.8519,0
87224.34,441.5132,321.2906,0
87239.14,445.5368,325.3996,0
87255.98,449.7294,329.1277,0
87273.49,453.9712,333.0215,0
87290.38,457.9138,337.1936,0
87308.67,462.3496,342.1683,0
87323.68,466.369,346.9344,0
87339.96,470.0464,351.1602,0
87358.55,473.7477,355.7011,0
87376.5,477.8137,360.1573,0
87392.77,482.5673,365.3642,0
87408.7,487.197,370.3843,0
87424.31,491.5253,374.6335,0
87440.41,496.3722,379.7881,0
87457.72,501.9481,386.5721,0
87473.94,508.2787,394.6549,0
87491.72,512.9239,400.5748,0
87509.02,517.0781,405.3365,0
87526.44,520.2557,408.7326,0
87541.64,522.5901,411.7181,0
87559.37,525.2447,415.9417,0
87578.54,527.5278,420.7427,0
87596.85,529.1754,423.8514,0
87610.65,530.9662,427.0403,0
87630.27,533.3118,429.9772,0
87649.11,535.6959,432.3249,0
87663.85,538.5863,435.2629,0
87680.01,542.6563,439.3122,0
87694.43,546.4819,442.9547,0
87710.89,550.4831,446.8771,0
87730.82,553.4109,449.8753,0
87745.45,556.9025,452.9299,0
87760.47,560.7507,456.3537,0
87780.95,564.1339,459.3931,0
87798.97,567.2482,460.8704,0
87814.57,570.5497,462.1589,0
87830.48,573.8057,464.5818,0
87847.08,577.4011,467.7929,0
87862.38,580.9887,470.293,0
87879.29,583.285,470.8106,0
87895.14,584.0526,470.3475,0
87913.03,584.8645,470.3576,0
87929.5,585.3196,470.4197,0
87948.58,584.7526,469.491,0
87966.06,583.9306,467.2205,0
87984.16,581.5651,463.2686,0
87997.24,579.4895,460.7575,0
88014.34,576.9589,458.5291,0
88031.08,574.0492,456.8771,0
88048.73,571.9437,455.2043,0
88064.7,569.5834,452.7177,0
88080.51,565.5182,448.7151,0
88097.93,561.3963,445.1827,0
88114.95,557.0281,441.9708,0
88130.66,553.4786,439.4626,0
88147.07,550.9167,437.4767,0
88163.71,549.6586,436.6315,0
88181.05,548.9351,436.2229,0
88198.05,548.9135,436.0999,0
88214.88,550.4966,436.985,0
88232.21,551.8438,438.0274,0
88248.16,553.1208,438.8663,0
88264.39,554.2169,439.8843,0
88280.5,554.9432,440.8324,0
88297.27,556.2762,442.121,0
88313.67,556.7118,442.3542,0
88333.58,556.7076,442.4408,0
88350.59,556.6985,443.0191,0
88369.67,556.253,443.2773,0
88384.02,556.0839,443.2712,0
88397.85,556.3864,442.775,0
88415.34,557.0159,442.9473,0
88434.44,557.6615,443.6347,0
88450.63,557.8544,444.5206,0
88466.56,558.1938,444.7456,0
88484.89,558.5554,444.3822,0
88500.36,559.0312,444.5639,0
88518.06,559.3716,444.8293,0
88533.99,559.1989,444.809,0
88551.37,558.7753,444.3828,0
88568.42,558.9995,444.7314,0
88586.1,559.2883,445.3993,0
88599.94,559.2424,446.279,0
88617.59,558.9277,446.4605,0
88635.89,559.0408,446.8117,0
88650.57,559.8819,447.9099,0
88668.16,561.2657,449.1811,0
88684.96,562.2473,450.0854,0
88703.13,563.3515,451.197,0
88717.61,564.9021,453.2448,0
88734.31,565.931,454.5723,0
88752.42,565.7283,453.737,0
88768.95,565.0953,452.5769,0
88786.91,564.2598,451.7529,0
88802.25,562.1973,450.6902,0
88819.8,561.3548,450.0467,0
88834.88,561.3898,449.2456,0
88853.74,561.4816,449.0476,0
88869.16,561.5468,449.1678,0
88885.69,560.7101,448.7293,0
88902.16,557.8408,446.711,0
88920,561.4314,448.7926,0
88937.3,566.0141,450.3599,0
88955.66,563.6985,451.1777,0
88970.66,563.9366,451.6062,0
88988.89,563.4729,451.0802,0
89004.81,562.9541,450.5511,0
89021.84,562.996,450.7269,0
89039.71,562.1696,450.8864,0
89054.13,560.929,450.9082,0
89071.39,566.0237,454.8154,0
89090.37,560.2328,450.3375,0
89105.99,558.8502,449.4717,0
89120.38,561.2197,450.8317,0
89137.13,563.2616,451.6353,0
89156.04,562.5705,452.2054,0
89172.55,563.5646,452.7791,0
89200.79,563.7109,452.8008,0
89216.96,562.8734,452.0378,0
89235.53,561.4894,450.6624,0
89251.73,560.9725,449.69,0
89268.55,560.9725,449.69,1
89268.55,560.6738,448.1786,0
89282.2,560.4449,446.7243,0
89292.6,560.1324,445.4989,0
89303.55,559.3035,443.4987,0
89321.03,558.3364,439.6652,0
89340.78,557.3907,434.0703,0
89356.62,556.5595,428.7383,0
89375.05,555.4436,424.3336,0
89391.3,554.1177,420.2033,0
89411.3,553.9862,417.7718,0
89429.55,554.1121,415.9563,0
89440.37,554.2982,413.5108,0
89456.88,554.7991,410.1208,0
89474.45,555.8168,406.9167,0
89494.22,556.4678,404.4876,0
89507.41,556.6157,400.7012,0
89525.73,556.2283,396.5081,0
89541.85,555.8508,391.7808,0
89558.79,555.2607,385.7726,0
89577.08,555.0115,380.1555,0
89593.41,555.0212,373.9159,0
89611.38,554.5595,368.618,0
89625.38,554.0618,362.4929,0
89642.58,554.0211,356.3148,0
89658.09,554.4857,349.0826,0
89674.96,554.8405,342.3039,0
89691.38,554.8099,335.8911,0
89710.2,554.6344,329.869,0
89726.3,554.8738,324.2593,0
89741.7,555.5449,318.606,0
89757.87,555.8984,313.3787,0
89774.45,555.8001,308.0059,0
89794.49,555.7352,303.6474,0
89809.14,555.8713,299.8719,0
89824.84,556.2987,296.6462,0
89841.28,556.9469,293.0396,0
89860.62,557.3077,289.3571,0
89878.74,557.2388,286.4828,0
89893.95,556.8792,282.3051,0
89911.39,557.0204,278.7758,0
89925.31,557.5165,275.2928,0
89943.34,558.1889,272.2065,0
89959.72,558.6808,268.3477,0
89984.78,558.7833,263.7255,0
90001.37,558.8319,259.2372,0
90018.88,559.3377,255.8435,0
90032.07,560.5075,253.8753,0
90046.86,562.1295,251.7538,0
90061.05,563.2653,249.2069,0
90076.76,563.8255,246.8185,0
90093.27,563.9635,244.4774,0
90110.1,563.618,242.2282,0
90126.88,563.7739,240.3605,0
90143.42,564.2023,239.3304,0
90161.55,564.7299,239.3496,0
90176.82,565.0396,239.0995,0
90195.14,564.9753,238.6577,0
90210.65,564.9773,238.5649,0
90226.46,565.2158,238.6711,0
90242.23,565.4624,238.9479,0
90259.16,565.5076,239.3703,0
90276.28,565.0281,239.695,0
90292.86,564.0906,239.9677,0
90310.77,563.5484,240.9971,0
90326.98,563.4261,243.0379,0
90344.59,563.3652,244.8213,0
90362.09,562.925,246.4549,0
90378.61,562.4139,248.2265,0
90397.3,562.1569,250.4337,0
90426.14,561.7552,252.4086,0
90445.99,560.7571,254.3844,0
90461.81,560.0036,256.1969,0
90478.22,559.6131,257.7168,0
90492.13,559.266,259.0947,0
90507.23,558.4865,260.3102,0
90521.62,557.7498,261.5032,0
90534.23,557.3209,262.5733,0
90546.05,556.72,264.1817,0
90564.53,556.3718,265.1651,0
90580.89,556.365,265.2042,0
90597.59,556.3442,265.1363,0
90614.77,556.4199,265.0576,0
90631.96,556.2545,264.6068,0
90649.14,555.8649,263.6807,0
90665.31,555.0585,262.1425,0
90680.56,554.3068,261.2979,0
90697.55,553.5811,260.629,0
90715.5,553.5363,259.7785,0
90734.45,553.9659,259.4388,0
90749.99,554.4974,259.0839,0
90765.55,555.3104,258.2203,0
90782.71,556.2215,257.5013,0
90799.27,557.3836,256.9203,0
90815.27,558.447,256.4843,0
90832.85,559.3566,256.0777,0
90849.63,560.2089,255.4686,0
90867.51,561.0555,255.0538,0
90882.21,561.3344,254.7693,0
90898.05,561.3026,254.6922,0
90915.87,561.7166,254.7024,0
90934.35,562.6461,254.6691,0
90951.23,563.8264,254.7441,0
90966.96,565.4014,254.2943,0
90982.64,566.6875,254.1097,0
90998.81,567.7183,254.0734,0
91017.61,568.718,254.0913,0
91036.63,569.2855,253.8449,0
91049.87,569.2382,253.424,0
91066.91,569.7071,253.1583,0
91087.5,570.053,253.5199,0
91101.12,569.7945,253.5991,0
91117.77,569.1177,253.2825,0
91134.52,568.238,252.877,0
91151.27,567.9263,252.8332,0
91168.92,568.3113,252.8041,0
91185.41,568.2309,253.3734,0
91200.03,567.7236,253.5291,0
91217.41,566.4274,253.3473,0
91233.71,565.5865,253.487,0
91250.95,565.4891,254.1516,0
91267.16,565.4527,254.7903,0
91284.99,564.6837,254.5006,0
91301.79,563.9948,253.763,0
91318.7,563.8181,253.9568,0
91336.44,563.3686,254.4238,0
91352.7,561.0306,253.9814,0
91370.44,561.7262,254.2059,0
91386.43,561.8325,254.1053,0
91403.67,560.7975,254.7427,0
91419.23,560.9442,255.1634,0
91435.02,561.7572,255.1377,0
91452.28,562.3057,254.9424,0
91470.72,562.5409,254.3277,0
91485.81,561.9672,253.7412,0
91504.17,562.1934,254.2309,0
91519.32,564.6859,255.8851,0
91535.12,561.8287,254.6154,0
91555.65,560.4685,254.677,0
91573.33,562.4681,253.7878,0
91590.07,562.0969,253.4004,0
91602.22,561.2276,253.0223,0
91619.41,561.2639,252.0373,0
91637.9,560.7681,250.8544,0
91653.84,559.6768,249.0728,0
91672,558.9202,247.2985,0
91686.25,558.1483,245.0695,0
91702.18,558.1483,245.0695,1
91702.18,557.1711,242.4978,0
91719.48,556.4047,240.2541,0
91735.07,555.4688,237.9755,0
91752.44,554.4749,235.5245,0
91770.33,553.5754,232.9284,0
91786.46,552.9203,230.2497,0
91804.09,552.4034,227.9084,0
91819.9,552.1878,225.2211,0
91837.3,551.7448,222.1626,0
91853.98,550.9998,218.493,0
91870.3,549.6926,214.0557,0
91887.41,548.8129,210.3152,0
91903.05,547.906,206.3209,0
91919.84,546.305,201.5211,0
91936.33,544.5939,196.6649,0
91952.9,542.8357,190.7924,0
91971.02,541.8716,185.8122,0
91987.59,541.0117,180.4029,0
92003.58,539.9688,175.1009,0
92020.6,539.3225,170.3892,0
92037.26,539.7324,166.4341,0
92053.8,540.2036,162.4397,0
92070.43,540.4149,158.2712,0
92088.2,538.907,154.1623,0
92104.28,538.2662,149.5202,0
92120.51,538.268,144.8981,0
92140.19,538.0934,140.9592,0
92157.26,538.1512,136.8883,0
92171.17,537.9382,132.9734,0
92187.59,537.933,128.3758,0
92205.27,538.7936,123.6465,0
92222.88,539.5345,119.4509,0
92238.13,540.2691,114.9044,0
92254.37,541.1342,109.3015,0
92272.12,541.9555,104.1071,0
92288.28,543.2287,98.45591,0
92304.77,545.4713,92.73392,0
92325.22,547.6763,87.17807,0
92341.91,549.1628,82.38165,0
92355.15,550.3054,78.02255,0
92370.94,551.4229,73.39861,0
92388.88,552.2991,69.23138,0
92406.52,552.6433,65.90014,0
92422.58,552.5065,63.37406,0
92439.41,552.7893,60.62666,0
92455.63,553.543,57.82447,0
92472.97,554.2059,56.07165,0
92489.6,554.4397,54.23108,0
92506.2,554.4026,52.78851,0
92525.07,554.799,51.95161,0
92539.93,555.4006,51.9052,0
92557.06,555.7573,52.88502,0
92577.68,556.6469,52.73471,0
92594.84,557.8022,52.82092,0
92610.87,558.4489,53.04205,0
92627.12,559.5631,53.34858,0
92651.73,560.6914,54.27151,0
92661.75,562.6109,55.30572,0
92676.35,564.7997,57.09525,0
92694.93,566.168,59.13636,0
92711.39,567.6017,60.91572,0
92728.7,569.084,62.64898,0
92748.13,569.9406,64.28675,0
92765.3,570.2182,66.21977,0
92779.51,570.5223,67.37144,0
92795.54,571.2132,67.95057,0
92816.91,571.412,67.85118,0
92831.27,571.2767,67.93958,0
92847.7,571.0179,67.99644,0
92862.49,571.3411,68.41984,0
92878.16,571.5123,69.16351,0
92894.63,571.3011,69.3792,0
92912.77,570.8258,69.61913,0
92930.08,570.2325,69.49113,0
92946.73,569.7072,69.25077,0
92964.08,568.9587,68.5244,0
92979.54,568.3143,67.86369,0
92994.73,568.2332,66.89434,0
93012.33,568.3976,66.53596,0
93028.98,567.9005,66.665,0
93048.69,566.5345,66.68134,0
93066.09,565.5062,66.52461,0
93083.03,564.7411,66.61425,0
93096.53,564.2296,66.85276,0
93112.27,563.2285,67.3845,0
93136.66,562.702,67.50755,0
93148.23,562.0358,67.8876,0
93164.15,561.2404,68.14688,0
93181.31,560.0209,68.39251,0
93197.27,558.9898,68.85386,0
93214.56,558.5988,69.61575,0
93229.73,559.0494,70.59225,0
93247.21,559.2463,71.14546,0
93263.86,558.7518,71.2263,0
93280.7,557.7748,71.48404,0
93297.41,557.1122,71.42545,0
93315.03,557.9368,71.48901,0
93334.82,558.7135,71.84594,0
93351.63,559.6392,71.85897,0
93365.38,559.5558,71.51153,0
93382.29,559.402,70.48408,0
93398.98,560.0984,69.84482,0
93414.11,561.0485,69.6804,0
93432.61,562.2682,69.88766,0
93449.41,562.5176,70.21357,0
93464.77,562.7416,70.23414,0
93482.36,562.3239,69.96559,0
93500.25,561.6447,69.69724,0
93515.78,561.2866,69.82298,0
93532.84,561.4468,69.82674,0
93552.39,561.007,68.811,0
93565.38,560.9561,68.3773,0
93584.19,562.6537,68.01881,0
93599.31,561.6008,67.95118,0
93614.1,559.6824,69.04005,0
93635.55,560.1731,68.32824,0
93651.8,559.6943,67.98671,0
93667.93,558.7881,69.20958,0
93684.26,559.7672,70.2922,0
93700.3,560.3661,71.13846,0
93720.27,557.7294,71.5038,0
93734.06,557.1399,70.96777,0
93749.7,553.8611,71.48035,0
93771.97,550.9428,72.63061,0
93784.44,548.5969,73.60975,0
93801.92,546.7166,74.78798,0
93818.67,544.7136,76.11229,0
93834.76,542.2527,76.92902,0
93849.96,539.0876,77.64026,0
93867.37,533.9081,78.86321,0
93884.98,528.2767,80.31142,0
93901.24,522.5728,81.74716,0
93917.59,515.6097,83.37781,0
93935.53,507.8456,84.54572,0
93952.58,500.5868,85.96956,0
93972.61,492.8951,87.70067,0
93986.69,486.5789,88.00109,0
94004.53,480.1288,87.96738,0
94020,473.6169,87.90211,0
94036.92,467.8753,87.44017,0
94054.22,462.4037,87.35844,0
94069.88,456.0452,88.74782,0
94094.01,448.7575,90.69748,0
94110.1,441.5528,91.33561,0
94123.91,436.2835,91.23996,0
94135.71,430.1968,91.05819,0
94152.74,423.863,91.17879,0
94170.63,418.645,91.65369,0
94187.2,414.1284,92.07244,0
94203.8,409.4808,92.437,0
94225.11,406.9899,92.34377,0
94237.05,403.1675,92.10181,0
94252.2,399.1399,91.90153,0
94271.85,396.319,91.94075,0
94289.42,395.0098,91.90027,0
94305.11,393.9438,91.77139,0
94322.23,394.1959,91.38754,0
94338.7,394.9928,90.89889,0
94353.89,396.9956,90.44935,0
94370.98,400.6632,89.86539,0
94389.25,404.1558,89.10976,0
94406.16,407.8887,88.29383,0
94423.01,412.5387,87.21695,0
94440.06,416.2124,86.2655,0
94457.02,419.1227,85.3652,0
94471.52,422.7487,84.10489,0
94491.51,427.5655,83.33982,0
94506.62,433.4128,82.96722,0
94523.13,439.6896,82.74559,0
94538.98,446.6871,82.11124,0
94555.38,453.8258,80.89439,0
94574.33,460.3929,79.19457,0
94589.63,468.5013,76.98906,0
94606.34,476.9103,75.62898,0
94626.19,484.2382,74.70091,0
94640.4,491.1312,73.80212,0
94656.76,496.3757,73.26871,0
94672.7,500.9916,72.39248,0
94689.54,505.1164,71.50504,0
94705.76,508.8237,70.44844,0
94721.84,513.2332,69.74924,0
94738.51,517.7562,69.40099,0
94755.45,523.1507,68.65064,0
94773.67,527.5781,67.66993,0
94790.11,531.9205,66.80813,0
94805.99,536.3948,65.69622,0
94823.78,540.7487,64.51247,0
94839.53,544.9031,63.37957,0
94857.52,548.5843,62.35732,0
94874.56,551.9303,61.56197,0
94890.8,553.7225,61.62973,0
94909.01,555.4915,61.24008,0
94924.48,557.7772,60.74487,0
94940.64,559.7902,60.6759,0
94957.79,561.7309,60.15366,0
94974.11,563.8863,59.44227,0
94992.38,566.1356,59.05632,0
95009.73,568.4098,59.12743,0
95025.55,569.1087,59.61936,0
95042.48,569.1486,59.99364,0
95058.05,568.088,60.96629,0
95076.93,567.2054,61.84364,0
95092.05,565.8408,63.13143,0
95109.16,564.8612,64.08011,0
95133.41,563.8742,65.12789,0
95144.4,562.6452,66.35998,0
95160.4,561.4189,67.18363,0
95176.82,560.0982,67.82439,0
95193.38,559.147,68.56712,0
95211.29,558.5378,69.17381,0
95229.18,557.7059,70.06542,0
95246.17,557.1862,70.75352,0
95260.61,557.0293,71.31531,0
95278.7,558.3542,71.04413,0
95295.14,559.3389,71.01055,0
95309.29,559.3926,71.15041,0
95326.23,559.3284,71.34539,0
95343.7,559.6406,71.16433,0
95359.98,560.1163,71.01994,0
95378.29,559.8324,70.83279,0
95394.49,559.0372,70.82981,0
95411.18,558.9177,70.89435,0
95437.14,558.9252,71.17072,0
95450.7,558.9124,70.85102,0
95462.18,559.7714,69.98762,0
95480.36,560.5101,69.65239,0
95494.86,561.0524,69.53288,0
95512.15,561.7949,69.49407,0
95527.91,562.7826,69.55354,0
95545.29,563.1877,69.48319,0
95560.41,562.9443,69.29154,0
95577.23,561.6061,69.42748,0
95593.66,560.9529,69.70353,0
95611.38,560.7636,69.8942,0
95629.34,560.519,69.82066,0
95645.81,559.4798,69.80128,0
95663.66,559.3747,69.68813,0
95681.48,559.7794,69.66088,0
95697.94,559.9489,69.77173,0
95710.94,561.391,68.91332,0
95737.59,562.5512,68.62666,0
95750.1,562.8858,68.84752,0
95763.93,562.2388,69.02456,0
95780.24,560.9304,69.52116,0
95797.09,559.5883,70.09071,0
