Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1802321,299.0356,234.5945,56.22474,49.55125
1802336,298.3992,234.2001,56.1683,49.50364
1802353,297.7388,234.2788,56.10957,49.51316
1802369,297.0115,234.2014,56.04467,49.5038
1802386,296.205,234.0028,55.97247,49.47979
1802404,295.3585,233.5584,55.89637,49.426
1802420,294.353,233.1118,55.8056,49.37181
1802436,293.425,232.7827,55.72146,49.33181
1802458,292.9152,232.6525,55.67507,49.31596
1802470,292.3595,232.7143,55.62439,49.32348
1802486,291.7957,232.6673,55.57283,49.31776
1802502,291.1601,232.1874,55.51454,49.25927
1802520,290.6656,231.7763,55.46908,49.20906
1802536,290.1892,231.5614,55.42518,49.18277
1802552,289.8335,231.2826,55.39233,49.14862
1802570,289.5524,230.9995,55.36633,49.1139
1802586,289.2054,230.9206,55.3342,49.10421
1802602,288.6205,231.0072,55.27991,49.11484
1802621,288.1574,230.9077,55.23684,49.10262
1802635,287.7129,230.6822,55.19539,49.07492
1802652,287.2404,230.0483,55.15124,48.99687
1802669,286.7826,229.4523,55.10837,48.92326
1802686,286.0625,229.1184,55.04076,48.88193
1802703,285.4156,229.1106,54.97982,48.88097
1802719,284.8313,228.9897,54.92462,48.86597
1802736,283.9929,229.2181,54.84515,48.89428
1802753,282.9325,229.2653,54.74418,48.90012
1802769,281.701,229.114,54.62629,48.88138
1802786,280.3605,228.8922,54.49718,48.85389
1802802,278.9843,228.6189,54.36379,48.81997
1802820,277.9012,228.4406,54.25817,48.79782
1802836,276.4839,228.4995,54.11917,48.80514
1802856,274.9683,228.9521,53.96949,48.86132
1802872,273.1183,229.8714,53.7853,48.97504
1802891,271.5168,230.4306,53.62455,49.04397
1802905,269.6033,230.9296,53.43084,49.10531
1802920,267.833,231.1668,53.25006,49.13443
1802936,265.9996,231.5161,53.0612,49.17723
1802956,264.313,231.8687,52.88598,49.22035
1802972,262.8033,232.696,52.72794,49.32125
1802987,261.4014,233.5441,52.58015,49.42426
1803004,259.7425,234.0074,52.40396,49.48036
1803019,257.8699,234.1516,52.20338,49.49779
1803038,255.9239,234.3078,51.993,49.51665
1803053,254.0875,234.6391,51.79264,49.55663
1803069,252.4836,234.6794,51.61617,49.56149
1803086,250.7704,235.0343,51.42616,49.60423
1803103,248.9334,235.5539,51.22064,49.66666
1803120,247.2882,236.1759,51.03501,49.74119
1803135,245.1361,236.6951,50.78991,49.80323
1803154,243.205,236.8007,50.56778,49.81583
1803169,241.0098,237.0297,50.31269,49.84313
1803185,238.5983,236.9284,50.02929,49.83105
1803203,236.3537,236.9462,49.76245,49.83317
1803220,233.9545,237.1698,49.47396,49.85981
1803236,231.573,237.1155,49.18419,49.85334
1803253,229.1858,237.215,48.89028,49.86519
1803269,226.5448,237.2851,48.56105,49.87354
1803287,224.0943,237.4531,48.25169,49.89352
1803303,221.2378,237.6028,47.88627,49.91131
1803322,218.5564,237.7424,47.5385,49.92789
1803340,216.1213,237.8407,47.21864,49.93955
1803353,213.3829,237.724,46.85425,49.92571
1803369,210.0071,237.3793,46.39814,49.88474
1803390,206.9768,237.1675,45.98212,49.85954
1803406,203.792,237.1774,45.53804,49.86072
1803420,200.9417,236.9896,45.13457,49.83834
1803440,198.2692,236.9556,44.751,49.8343
1803453,195.4654,236.8711,44.34305,49.82423
1803470,192.8307,236.7198,43.95444,49.80618
1803487,190.6085,236.3495,43.62268,49.76195
1803503,188.7801,236.561,43.34695,49.78722
1803521,186.9731,236.8314,43.07195,49.81949
1803538,185.2076,236.8938,42.80087,49.82693
1803557,183.3127,237.1709,42.50723,49.85995
1803574,181.8773,237.3519,42.28296,49.88148
1803590,180.6295,237.695,42.08669,49.92226
1803607,179.5414,238.2308,41.91454,49.9858
1803625,178.4666,238.7305,41.74358,50.04492
1803643,177.4761,239.1463,41.58522,50.09399
1803675,175.9259,239.6141,41.33582,50.14907
1803688,175.2118,239.625,41.22028,50.15036
1803702,174.7907,239.7367,41.15195,50.16349
1803720,174.1919,239.9513,41.05454,50.18872
1803745,173.0808,240.5163,40.87304,50.25496
1803764,172.551,240.7661,40.78614,50.28421
1803777,172.1379,240.7997,40.71823,50.28813
1803788,171.9305,240.7728,40.68409,50.28499
1803801,171.7328,240.5947,40.6515,50.26415
1803813,171.5652,240.3708,40.62385,50.23793
1803827,171.3059,240.2077,40.58103,50.2188
1803845,171.1424,240.0175,40.554,50.19648
1803860,171.1163,239.3819,40.54969,50.12175
1803874,171.0296,238.8235,40.53533,50.0559
1803889,170.7394,238.4702,40.48729,50.01414
1803905,170.2519,238.1666,40.40641,49.97819
1803922,169.6168,238.2328,40.30075,49.98604
1803938,169.08,238.3809,40.21118,50.00357
1803955,168.6298,238.225,40.13588,49.98512
1803972,168.0915,237.7385,40.04563,49.92743
