Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1885023,322.5553,236.6779,58.19907,49.80118
1885040,322.9039,235.9212,58.22678,49.7107
1885056,323.2692,235.2946,58.25577,49.63552
1885075,323.6236,234.8027,58.28385,49.57634
1885092,323.9987,234.2417,58.31353,49.50867
1885110,324.3862,233.4873,58.34414,49.41738
1885124,324.8443,232.7386,58.38025,49.32644
1885142,325.3555,232.0257,58.42045,49.23953
1885158,325.9327,231.3026,58.46574,49.15107
1885174,326.5308,230.5947,58.51255,49.06416
1885194,327.1376,230.0309,58.5599,48.99472
1885211,327.8668,229.5937,58.61665,48.94075
1885228,328.4576,229.2279,58.66249,48.89549
1885244,328.9906,229.029,58.70374,48.87085
1885259,329.5134,228.7611,58.74411,48.83763
1885276,330.1651,228.657,58.7943,48.8247
1885293,330.7875,228.6121,58.84209,48.81913
1885310,331.4137,228.5912,58.89005,48.81654
1885326,332.1911,228.438,58.94941,48.7975
1885344,332.9575,228.3052,59.00772,48.78098
1885362,333.6976,228.2332,59.06385,48.77202
1885376,334.4774,228.2107,59.12278,48.76922
1885391,335.4106,228.3718,59.19305,48.78926
1885411,336.1134,228.4488,59.24578,48.79884
1885427,336.8382,228.521,59.29998,48.8078
1885444,337.5145,228.6491,59.35041,48.82373
1885459,338.1792,228.807,59.39983,48.84332
1885475,338.8805,229.013,59.45181,48.86886
1885492,339.5252,229.2163,59.49945,48.89405
1885512,340.055,229.2745,59.53851,48.90127
1885526,340.5836,229.2845,59.57738,48.9025
1885545,341.111,229.2087,59.61608,48.89311
1885562,341.818,229.1939,59.66781,48.89128
1885581,342.482,229.078,59.71626,48.87693
1885594,343.3535,228.921,59.77962,48.85746
1885614,344.1385,228.9039,59.83651,48.85534
1885630,345.0055,229.012,59.89909,48.86874
1885644,346.1012,229.3379,59.97786,48.90911
1885660,347.1368,229.7098,60.05196,48.9551
1885679,348.1968,230.1335,60.12747,49.00737
1885695,349.6261,230.6152,60.22873,49.06668
1885714,351.1596,230.8999,60.33669,49.10167
1885732,352.553,231.0935,60.43417,49.12543
1885747,354.0849,231.3318,60.54066,49.15465
1885764,355.9256,231.6168,60.66771,49.18954
1885780,357.7661,231.8808,60.79374,49.22183
1885798,359.6171,232.0718,60.9195,49.24516
1885814,361.6403,232.1982,61.05584,49.26059
1885830,363.5627,232.4038,61.1843,49.28566
1885846,365.4699,232.7633,61.31073,49.32945
1885861,367.7032,233.4094,61.45748,49.40793
1885879,369.8458,233.9673,61.59698,49.47551
1885897,372.1043,234.5938,61.74269,49.55117
1885916,374.0755,235.2409,61.86875,49.62906
1885931,376.0117,235.9221,61.99156,49.7108
1885947,377.9594,236.7277,62.11412,49.80712
1885962,379.9247,237.523,62.23678,49.90182
1885980,381.7819,238.536,62.35178,50.02192
1885995,383.471,239.4108,62.45563,50.12515
1886011,385.4258,240.7511,62.5749,50.28245
1886029,387.1143,241.8178,62.67717,50.40691
1886045,388.7997,243.0895,62.77854,50.55442
1886063,390.4333,244.4072,62.87614,50.70631
1886079,391.9054,245.7348,62.96354,50.85836
1886094,393.4799,247.0229,63.05644,51.00493
1886112,394.8412,248.2436,63.13629,51.14299
1886128,396.2494,249.6391,63.21843,51.29981
1886145,397.6454,251.0293,63.2994,51.45498
1886164,398.9436,252.3959,63.37429,51.60648
1886178,400.1935,253.6585,63.44603,51.74557
1886193,401.5583,254.9406,63.52395,51.88594
1886210,402.944,256.4377,63.60264,52.04874
1886230,404.2422,257.9403,63.67596,52.21096
1886247,405.6082,259.4052,63.75271,52.36797
1886260,406.9977,260.9426,63.83035,52.53157
1886279,408.5475,262.468,63.91644,52.69269
1886297,409.9946,263.9286,63.99635,52.84585
1886314,411.3554,265.3914,64.07109,52.99818
1886330,412.7423,266.8639,64.14685,53.15044
1886347,414.2404,268.4324,64.22822,53.31144
1886363,415.6283,269.8157,64.30318,53.45243
1886380,416.9952,271.3075,64.37661,53.60344
1886396,418.5021,273.0137,64.4571,53.77483
1886414,420.0248,274.6438,64.53796,53.93729
1886431,421.7139,276.3635,64.62711,54.10732
1886447,423.3007,277.9464,64.71033,54.26259
1886461,424.8534,279.2645,64.79126,54.39102
1886480,426.3105,280.5038,64.86678,54.51102
1886493,427.8019,282.1343,64.94363,54.66785
1886511,429.0714,283.6508,65.0087,54.81263
1886527,430.3725,285.4862,65.07506,54.98648
1886544,431.5378,287.1154,65.13422,55.13955
1886560,432.6397,288.9711,65.18992,55.31248
1886584,433.4511,290.5833,65.23078,55.4615
1886597,434.0208,292.1213,65.2594,55.60262
1886612,434.4998,293.8949,65.28342,55.76411
1886631,434.7558,295.1557,65.29623,55.8781
1886648,434.696,296.1544,65.29324,55.96792
1886664,434.519,297.0093,65.28437,56.04448
1886680,434.1953,297.9874,65.26815,56.1317
1886697,433.5548,298.938,65.236,56.21609
1886713,433.0436,300.08,65.21027,56.31699
1886730,432.4481,301.1905,65.18025,56.41459
1886760,431.4911,302.3455,65.13185,56.51557
1886769,431.0806,302.7383,65.11104,56.54979
1886778,430.3069,303.3469,65.07172,56.60269
1886794,429.303,303.7767,65.02054,56.63996
1886811,428.3975,304.1886,64.9742,56.67561
1886829,427.3778,304.5498,64.92181,56.70681
1886848,426.6184,304.8721,64.88268,56.73461
1886863,425.7698,305.2405,64.8388,56.76634
1886879,424.9797,305.4767,64.79782,56.78665
1886896,424.1852,305.783,64.75648,56.81296
1886912,423.4492,306.0375,64.71809,56.83479
1886929,422.6467,306.2751,64.67609,56.85515
1886946,421.7431,306.4705,64.62865,56.87188
1886963,420.6561,306.5948,64.57136,56.88252
1886979,419.6311,306.8275,64.51711,56.9024
1886996,418.3074,306.8629,64.44673,56.90543
1887013,416.776,306.7145,64.36485,56.89275
1887029,415.099,306.6063,64.27464,56.8835
1887046,413.0386,306.4688,64.16298,56.87173
1887062,410.8539,306.2979,64.04359,56.85711
1887079,408.7707,306.0424,63.92879,56.83522
1887097,406.0195,305.5709,63.77573,56.79475
1887115,403.5184,305.1001,63.63513,56.75425
1887129,400.9108,304.6859,63.48704,56.71855
1887147,398.0289,304.2832,63.32157,56.68378
1887163,395.4361,303.8508,63.17105,56.64638
1887181,392.757,303.4398,63.01386,56.61075
1887197,389.7138,302.9128,62.83324,56.56498
1887214,386.8035,302.4605,62.65839,56.5256
1887229,383.9316,301.9671,62.48382,56.48254
1887251,380.9608,301.5173,62.30105,56.44321
1887267,377.8585,301.053,62.10779,56.40253
1887283,374.6156,300.556,61.90311,56.35888
1887302,371.6507,300.0274,61.71354,56.31234
1887319,368.6649,299.4768,61.52026,56.26376
1887335,365.7391,298.9095,61.32849,56.21357
1887352,362.9238,298.3123,61.14173,56.16059
1887366,359.9053,297.7232,60.939,56.10818
1887381,356.6288,297.1561,60.71598,56.0576
1887401,353.7615,296.664,60.51824,56.0136
1887416,350.7645,296.1451,60.30894,55.96709
1887434,348.1817,295.729,60.12639,55.92971
1887450,345.2702,295.2311,59.91816,55.8849
1887467,342.5787,294.8035,59.7233,55.84633
1887484,340.2451,294.3846,59.55249,55.80846
1887497,337.4897,293.9336,59.34857,55.76762
1887514,334.7417,293.5537,59.14272,55.73315
1887533,332.1057,293.2688,58.9429,55.70725
1887549,329.5331,293.0195,58.74563,55.68457
1887566,327.1312,292.8472,58.5594,55.66887
1887583,324.6996,292.5653,58.36884,55.64318
1887599,321.731,292.1434,58.13337,55.60464
1887620,319.8271,291.9049,57.9807,55.58282
1887631,317.4838,291.4175,57.79099,55.53817
1887647,314.9569,290.9861,57.58414,55.49856
1887665,312.7141,290.4279,57.39857,55.44719
1887680,310.1901,289.5592,57.18745,55.36696
1887698,307.8792,288.6471,56.99203,55.28239
1887714,305.5073,287.6407,56.78928,55.18866
1887731,303.411,286.6733,56.60826,55.09813
1887747,301.1135,285.6776,56.40784,55.00452
1887763,298.8241,284.7203,56.20599,54.91412
1887784,296.7406,283.8851,56.02045,54.83491
1887799,294.71,282.9447,55.83788,54.74535
1887815,292.7143,281.921,55.65676,54.6474
1887832,291.0917,281.0449,55.50826,54.56321
1887848,289.0613,280.0712,55.32084,54.46922
1887865,287.2895,279.3017,55.15583,54.39462
1887883,285.5351,278.5741,54.99109,54.32385
1887900,284.3044,277.9037,54.87471,54.25842
1887913,282.8765,277.1694,54.73884,54.18652
1887932,281.5627,276.5495,54.61301,54.12563
1887951,280.4373,275.9761,54.5046,54.06915
1887967,279.4179,275.3873,54.40591,54.01097
1887983,278.5566,274.7197,54.32215,53.94483
1888001,277.685,274.0665,54.23704,53.8799
1888017,276.8925,273.4442,54.15935,53.81787
1888032,276.1567,272.7809,54.08695,53.75154
1888049,275.393,272.0897,54.01154,53.68219
1888066,274.6652,271.4118,53.93942,53.61396
1888082,273.8206,270.6998,53.85542,53.54205
1888101,273.1101,270.0262,53.78448,53.4738
1888116,272.4601,269.3907,53.71938,53.40921
1888134,271.7166,268.7205,53.64466,53.34087
1888150,271.0194,268.0822,53.57436,53.27559
1888165,270.3642,267.3033,53.50808,53.19566
1888182,269.6912,266.5551,53.43978,53.11859
1888199,269.0441,265.7933,53.3739,53.03984
1888215,268.3742,265.1129,53.30548,52.96926
1888232,267.6981,264.4402,53.23621,52.89925
1888249,266.8923,263.6898,53.15336,52.82088
1888265,266.0222,263.106,53.06353,52.75972
1888283,265.0006,262.521,52.95758,52.69827
1888299,264.1789,261.9625,52.87199,52.63942
1888318,263.306,261.3259,52.78069,52.57217
1888334,262.4426,260.8329,52.69001,52.51994
1888351,261.6409,260.3792,52.60547,52.47175
1888367,260.9406,259.9466,52.53135,52.42572
1888384,260.3724,259.5413,52.47104,52.3825
1888400,259.8186,259.136,52.41208,52.3392
1888417,259.2512,258.7534,52.35152,52.29824
1888436,258.9064,258.4285,52.31463,52.2634
1888452,258.5419,258.1521,52.27558,52.23373
1888470,258.2111,257.9214,52.24007,52.20893
1888486,257.9142,257.7163,52.20815,52.18685
1888502,257.7803,257.4995,52.19374,52.16349
1888517,257.636,257.2417,52.1782,52.13569
1888532,257.4987,257.0067,52.1634,52.11031
1888550,257.3181,256.6424,52.14394,52.07091
1888569,257.1938,256.3323,52.13052,52.03732
1888584,257.0405,255.9307,52.11396,51.99375
1888600,256.5957,255.5204,52.06585,51.94913
1888616,256.0277,255.268,52.00427,51.92164
1888634,255.3939,255.0244,51.93536,51.89508
1888650,254.7161,254.7017,51.86142,51.85985
1888671,253.9891,254.3563,51.78185,51.82208
1888685,253.1282,254.176,51.68726,51.80233
1888700,252.4641,254.0034,51.61402,51.78342
1888718,251.9392,253.8619,51.55597,51.7679
1888734,251.3056,253.6647,51.48569,51.74625
1888754,250.8289,253.5396,51.43268,51.73251
1888769,250.3537,253.3796,51.3797,51.71493
1888787,249.7794,253.2095,51.31551,51.69622
1888803,248.9169,253.0953,51.21878,51.68364
1888820,247.5609,253.138,51.06588,51.68835
1888836,246.1301,253.093,50.90343,51.68338
1888854,245.1249,252.94,50.78863,51.66653
1888871,243.7426,252.8541,50.62983,51.65706
1888887,242.4022,252.8326,50.47481,51.6547
1888908,241.0779,252.7455,50.32066,51.64509
1888920,240.2294,252.6619,50.22135,51.63586
1888934,239.3403,252.6165,50.11685,51.63084
1888950,238.4257,252.5881,50.00888,51.62772
1888970,237.7303,252.5482,49.92646,51.62331
1888987,237.251,252.5245,49.86948,51.62069
1889003,236.7502,252.5684,49.80981,51.62554
1889020,236.4584,252.5765,49.77496,51.62643
1889036,236.402,252.6444,49.76823,51.63393
1889054,236.3525,252.6564,49.76231,51.63525
1889070,236.3772,252.7925,49.76526,51.65027
1889086,236.5694,253.1428,49.78822,51.68887
1889103,236.804,253.5172,49.81622,51.73006
1889119,237.1303,253.9661,49.85511,51.77933
1889134,237.6106,254.5138,49.91223,51.83931
1889151,238.0059,254.9202,49.95915,51.88372
1889168,238.504,255.309,50.01814,51.92612
1889184,238.9435,255.5915,50.07006,51.95687
1889201,239.1929,255.9332,50.09948,51.99401
1889218,239.3501,256.2191,50.11801,52.02505
1889234,239.447,256.5619,50.12941,52.06219
1889251,239.541,256.7677,50.14047,52.08447
1889268,239.653,256.9192,50.15365,52.10085
1889286,239.7703,256.988,50.16744,52.10829
1889303,240.0144,257.0109,50.19613,52.11076
1889320,240.3756,256.9381,50.23849,52.10289
1889336,240.7551,256.9959,50.28292,52.10915
1889352,241.1892,256.8885,50.33365,52.09754
1889369,241.8438,256.6913,50.40993,52.0762
1889387,242.7017,256.5155,50.50954,52.05717
1889402,243.6687,256.3171,50.62132,52.03568
1889419,244.5497,256.1451,50.72268,52.01701
1889435,245.5149,256.0595,50.83324,52.00772
1889453,246.4922,256.0345,50.94466,52.00501
1889470,247.8589,255.8574,51.09957,51.98577
1889486,248.7838,255.6553,51.20382,51.96381
1889503,249.4212,255.5472,51.2754,51.95205
1889519,249.9401,255.4615,51.3335,51.94272
1889535,250.4937,255.4226,51.39532,51.93848
1889551,251.1176,255.3185,51.4648,51.92715
1889568,251.4536,255.2134,51.50212,51.9157
1889587,251.4864,255.1194,51.50576,51.90545
1889603,251.4472,255.034,51.50142,51.89613
