Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1602828,326.8797,240.3626,58.53979,50.23696
1602857,327.591,237.94,58.59521,49.95134
1602891,328.1524,235.0426,58.63883,49.60522
1602922,328.648,232.2794,58.67723,49.27049
1602956,328.9907,229.8598,58.70375,48.97362
1602989,329.1086,227.6168,58.71286,48.69521
1603021,328.9609,226.0481,58.70145,48.49865
1603054,328.7473,224.5183,58.68492,48.30548
1603087,328.466,223.2811,58.66314,48.14818
1603120,327.9326,222.6583,58.62177,48.06863
1603154,327.0887,221.6793,58.55609,47.94309
1603187,326.2836,219.5977,58.49321,47.67411
1603219,325.9426,216.3468,58.46651,47.24842
1603253,325.9535,212.8661,58.46737,46.78493
1603287,326.185,209.1397,58.4855,46.27971
1603319,326.3159,205.6765,58.49574,45.80167
1603352,326.3415,201.967,58.49774,45.28037
1603387,326.3964,197.9864,58.50204,44.71011
1603417,326.4241,194.2143,58.5042,44.15916
1603449,326.3872,190.429,58.50132,43.59573
1603483,326.4174,186.8829,58.50368,43.05815
1603513,326.5023,183.742,58.51031,42.574
1603546,326.5357,180.6403,58.51293,42.0884
1603579,326.5773,177.9373,58.51618,41.65906
1603610,326.5374,175.3895,58.51307,41.24906
1603643,326.2375,173.1371,58.4896,40.88226
1603676,325.682,171.3557,58.44608,40.58926
1603709,324.5524,170.1117,58.35724,40.38311
1603740,322.6429,169.6754,58.20604,40.31051
1603774,320.268,169.5329,58.01617,40.28676
1603808,316.9612,169.7733,57.7484,40.32682
1603841,313.1589,170.0591,57.43552,40.37437
1603874,309.0423,170.3503,57.09064,40.42274
1603907,304.1997,170.6946,56.67657,40.47986
1603940,299.8481,170.9281,56.29654,40.51855
1603972,294.8265,171.3011,55.8484,40.58024
1604003,289.3208,171.4216,55.34489,40.60014
1604039,284.5554,171.6976,54.8985,40.64569
1604072,279.9348,171.705,54.45601,40.64692
1604101,275.8962,171.8583,54.06126,40.6722
1604135,272.2419,172.1258,53.69748,40.71624
1604169,269.1429,172.4666,53.38398,40.77229
1604198,266.1583,172.9036,53.07761,40.844
1604232,263.3499,173.4224,52.78529,40.92896
1604267,261.1367,173.7208,52.55213,40.97772
1604294,258.9502,174.0869,52.31932,41.03743
1604329,257.0018,174.4571,52.10978,41.09772
1604363,255.4008,174.8219,51.93611,41.15702
1604395,254.0236,174.9783,51.78563,41.1824
1604428,252.926,175.1173,51.66499,41.20495
1604464,251.9963,175.2976,51.56229,41.23418
1604496,251.482,175.5455,51.50528,41.27431
1604525,251.1129,175.8568,51.46428,41.32464
1604556,250.9267,176.2549,51.44356,41.3889
1604590,250.6412,176.5796,51.41176,41.44123
1604624,250.4659,176.9286,51.39222,41.49736
1604655,250.3281,177.2748,51.37685,41.55295
1604689,250.1804,177.7283,51.36035,41.62562
1604722,250.041,178.0532,51.34478,41.67759
1604753,250.1852,178.0024,51.36089,41.66947
1604786,250.0626,178.0646,51.34719,41.67941
1604820,249.9907,178.0544,51.33915,41.67778
1604853,249.9636,178.1074,51.33612,41.68624
1604885,249.9339,178.3606,51.3328,41.72667
1604918,249.8776,178.6235,51.3265,41.7686
1604951,249.7686,178.8463,51.3143,41.80408
1604980,249.7344,179.0655,51.31048,41.83896
1605014,249.7283,179.2258,51.3098,41.86444
1605048,249.7419,179.4556,51.31131,41.90094
1605080,249.7036,179.9043,51.30703,41.97206
1605113,249.7133,180.3522,51.30812,42.0429
1605146,249.5536,181.0693,51.29023,42.15601
1605178,249.3743,182.1507,51.27013,42.32581
1605211,249.0835,183.8484,51.2375,42.59052
1605243,248.7634,186.2387,51.20153,42.95948
1605277,248.4403,188.872,51.16515,43.36086
