Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1034567,328.881,236.8996,58.69527,49.82762
1034584,328.3935,235.6636,58.65752,49.67982
1034602,327.8227,234.4808,58.61322,49.53754
1034617,327.2946,233.2663,58.57214,49.39057
1034635,326.7278,232.2038,58.52793,49.26127
1034653,326.3257,231.6173,58.49651,49.18961
1034669,326.2815,231.3085,58.49305,49.1518
1034685,326.4273,231.7897,58.50446,49.21069
1034701,326.9025,233.5271,58.54157,49.4222
1034718,327.1826,234.9013,58.56341,49.58822
1034734,327.1846,236.3628,58.56356,49.76355
1034751,326.9447,237.4377,58.54486,49.89169
1034767,326.6188,238.4991,58.51942,50.01756
1034784,326.2022,239.6598,58.48685,50.15445
1034802,325.8667,240.4665,58.46057,50.24914
1034818,325.3009,240.7888,58.41616,50.28686
1034834,324.7049,240.8685,58.36926,50.29618
1034851,324.2307,240.3975,58.33186,50.24105
1034869,323.7858,239.3823,58.29669,50.1218
1034885,323.3739,238.2819,58.26408,49.99185
1034902,322.6799,236.8118,58.20898,49.81715
1034919,321.8882,235.6481,58.14592,49.67796
1034934,320.8616,234.3968,58.06382,49.5274
1034950,319.5299,233.2101,57.95675,49.38374
1034967,317.6925,232.095,57.80796,49.24799
1034983,315.8077,230.6919,57.65405,49.07611
1034999,313.0508,229.0457,57.42655,48.87292
1035017,310.163,227.599,57.18518,48.69299
1035035,306.6353,225.8526,56.88598,48.47404
1035055,303.1453,224.0225,56.58519,48.24255
1035069,299.313,221.8238,56.24928,47.96165
1035084,294.1971,218.9318,55.79149,47.58747
1035105,288.8214,216.0604,55.29858,47.21059
1035120,283.8555,213.526,54.83209,46.87341
1035134,277.7174,210.307,54.24021,46.43898
1035153,272.3264,207.4022,53.70596,46.0409
1035168,266.5646,204.0305,53.11957,45.57156
1035185,260.4957,200.27,52.48413,45.03864
1035203,254.2968,196.1443,51.81556,44.44235
1035223,249.1674,192.6831,51.24692,43.93253
1035241,244.1561,188.9993,50.67745,43.38014
1035256,240.6032,186.2709,50.26514,42.96441
1035270,236.2883,183.1214,49.75463,42.47744
1035288,232.4345,180.1585,49.2894,42.01229
1035307,228.866,177.2619,48.85064,41.55087
1035322,225.9528,174.7648,48.48665,41.14775
1035338,223.6183,172.6457,48.19115,40.8017
1035353,221.5489,170.3109,47.92632,40.4162
1035371,219.7425,168.0816,47.69291,40.04397
1035387,218.2365,165.8515,47.4967,39.66748
1035404,216.9087,163.8853,47.32249,39.3321
1035422,216.3022,162.3813,47.24253,39.07337
1035437,216.6071,161.3685,47.28276,38.89806
1035454,216.9115,160.2621,47.32286,38.70557
1035472,217.8781,159.1396,47.44979,38.5092
1035488,218.8115,158.1976,47.57179,38.34357
1035506,219.9129,157.3123,47.71502,38.18723
1035521,221.3977,156.4131,47.90686,38.02774
1035539,222.5741,155.4805,48.05785,37.86159
1035555,223.8621,154.4213,48.22217,37.67197
1035573,225.5434,153.6123,48.43507,37.52648
1035590,226.9726,152.7931,48.61467,37.37858
1035604,228.4303,151.9954,48.79654,37.234
1035619,230.2487,151.279,49.02158,37.10367
1035636,232.2292,150.386,49.26437,36.94061
1035655,234.2208,149.4044,49.50615,36.76053
1035671,236.1111,148.4262,49.73343,36.58025
1035684,238.3163,147.3963,49.99593,36.38952
1035702,241.0115,146.2784,50.3129,36.18144
1035721,243.7856,145.3191,50.63478,36.00198
1035738,246.6995,144.4217,50.96822,35.83337
1035752,249.8588,143.4815,51.3244,35.65594
1035770,252.8379,142.5659,51.65528,35.48239
1035786,256.0792,141.5321,52.00987,35.28554
1035802,259.3023,140.5766,52.35698,35.10274
1035820,262.4198,139.5041,52.68761,34.89656
1035837,265.3684,138.4849,52.99579,34.69968
1035852,268.4313,137.2872,53.31133,34.46711
1035869,271.5174,136.2597,53.6246,34.26654
1035886,274.5197,135.2869,53.92497,34.07578
1035903,277.4198,134.3597,54.21107,33.89315
1035920,280.028,133.345,54.46503,33.69238
1035936,282.8382,132.4259,54.73518,33.50973
1035957,285.2336,131.6262,54.96264,33.35016
1035972,287.6494,130.7808,55.18946,33.18083
1035986,289.831,129.97,55.3921,33.01783
1036003,292.0135,129.1434,55.59277,32.85102
1036021,293.9546,128.399,55.76952,32.70027
1036037,295.6814,127.711,55.92543,32.56046
1036053,297.3951,126.8714,56.07893,32.38929
1036072,298.8362,125.9678,56.20707,32.20432
1036087,300.2293,124.9886,56.33013,32.00303
