Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1349743,322.2972,236.2818,58.17853,49.75385
1349768,321.5438,235.5352,58.11842,49.66442
1349792,321.005,234.513,58.07531,49.54142
1349818,320.4782,232.9071,58.03306,49.34694
1349835,320.2683,231.3348,58.01619,49.15501
1349862,319.7787,230.1846,57.9768,49.01367
1349886,319.8529,229.2875,57.98278,48.90288
1349909,319.1908,227.9759,57.92938,48.73999
1349935,318.6714,227.3227,57.88738,48.65847
1349961,318.5306,227.6825,57.87598,48.70341
1349986,318.4814,227.7481,57.87199,48.71159
1350008,318.5034,227.8475,57.87378,48.72398
1350032,318.6035,227.9148,57.88188,48.73237
1350056,318.5182,228.2208,57.87498,48.77048
1350080,318.6998,228.5025,57.88968,48.80551
1350106,318.9256,228.7419,57.90795,48.83525
1350128,319.1071,228.7901,57.92262,48.84122
1350152,319.6391,228.3323,57.96555,48.78435
1350176,319.9024,228.165,57.98676,48.76354
1350202,319.803,228.1089,57.97876,48.75655
1350225,320.1861,228.1638,58.00959,48.76339
1350249,320.4103,228.5827,58.02761,48.81548
1350272,320.4639,229.4503,58.03191,48.92302
1350299,320.5055,231.0462,58.03525,49.11963
1350322,321.0291,233.0473,58.07724,49.36398
1350347,322.041,234.059,58.1581,49.4866
1350369,323.2313,234.4748,58.25277,49.53681
1350396,324.4399,235.0157,58.34837,49.60199
1350420,325.7638,235.3042,58.4525,49.63667
1350442,327.0716,235.4009,58.55476,49.64829
1350468,329.0869,235.4998,58.71119,49.66017
1350488,330.6132,235.4643,58.82873,49.6559
1350511,331.8389,235.56,58.92254,49.66739
1350536,332.6559,235.7974,58.98479,49.69587
1350561,333.4089,235.8085,59.04197,49.6972
1350587,334.3395,234.9921,59.11237,49.59914
1350610,335.9218,233.3557,59.23142,49.40142
1350634,337.5285,231.0212,59.35146,49.11656
1350660,338.629,229.0257,59.43319,48.87044
1350683,338.3883,228.7949,59.41534,48.84182
1350707,339.6108,227.2661,59.50577,48.65139
1350729,342.0374,224.2437,59.68384,48.27065
1350753,344.7391,221.1708,59.87988,47.87763
1350779,347.9672,216.7366,60.11114,47.29983
1350803,351.3586,212.2181,60.35065,46.69774
1350827,353.1486,209.3039,60.47565,46.30217
1350852,355.1477,206.7428,60.61414,45.94974
1350876,357.2625,204.2944,60.75935,45.60857
1350901,360.291,200.4548,60.96505,45.06507
1350935,363.063,197.4531,61.15101,44.63285
1350952,365.5956,194.4555,61.31902,44.1947
1350972,368.1555,191.0571,61.48704,43.68995
1350999,371.1225,187.0265,61.67952,43.08011
1351021,373.819,182.6539,61.85241,42.40451
1351046,375.7816,179.7944,61.97702,41.95465
1351070,377.3693,178.2822,62.07709,41.71416
1351102,379.3377,176.6942,62.20024,41.45967
1351120,381.3015,175.5068,62.32212,41.26805
1351145,383.3214,173.9658,62.44646,41.01769
1351166,385.2786,172.2252,62.56596,40.73259
1351191,386.1476,170.9082,62.61871,40.51524
1351216,386.6187,170.3021,62.64722,40.41475
1351239,387.3542,170.133,62.69164,40.38665
1351262,388.2143,170.435,62.74341,40.43681
1351286,389.129,170.858,62.79827,40.50694
1351310,390.2317,171.3828,62.86413,40.59373
1351334,391.4715,171.8744,62.93784,40.67484
1351358,392.4574,172.4908,62.99618,40.77626
1351380,393.2034,174.1116,63.04017,41.04146
1351407,393.9033,175.9553,63.08133,41.34056
1351431,394.6223,178.1155,63.12348,41.68754
1351456,395.2495,180.7136,63.16016,42.09996
1351481,395.6639,183.0598,63.18434,42.46783
1351504,396.089,185.5472,63.2091,42.8532
1351527,396.1706,188.1484,63.21385,43.25109
1351550,396.3128,191.2425,63.22212,43.71772
1351574,396.7282,194.4649,63.24625,44.19609
1351599,397.499,198.4651,63.29093,44.7793
1351625,398.0605,202.4266,63.32339,45.34549
1351648,398.3168,206.0044,63.33818,45.84729
1351672,398.4883,209.6686,63.34807,46.35199
1351695,399.0571,213.8095,63.38082,46.91134
1351728,399.538,217.9127,63.40845,47.45433
1351747,399.8571,221.0451,63.42676,47.86143
1351771,399.9018,224.907,63.42932,48.35471
1351796,399.5147,228.9588,63.40712,48.86215
1351820,398.9573,232.3915,63.37508,49.28416
1351844,397.8471,235.5117,63.31107,49.6616
1351869,396.6218,239.0835,63.24007,50.08658
1351896,396.041,241.8847,63.20631,50.41468
1351913,395.6615,244.9955,63.1842,50.77381
1351941,394.8821,247.9982,63.13869,51.11531
1351964,394.0818,250.3597,63.0918,51.38037
1351990,393.5936,252.3402,63.06313,51.60033
1352011,393.0671,254.2448,63.03214,51.80987
1352040,392.3981,256.5326,62.99268,52.05902
1352061,391.9594,258.6997,62.96674,52.2925
1352086,392.0065,260.5599,62.96952,52.49096
1352107,392.6171,262.0276,63.00561,52.64629
1352131,392.9928,263.3778,63.02776,52.78822
1352156,393.4828,264.8635,63.05662,52.94333
1352184,394.0437,266.6956,63.08957,53.13309
