Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1120060,324.5346,247.5282,58.35584,51.06218
1120085,324.7632,247.7699,58.37386,51.08951
1120107,324.9216,247.9049,58.38633,51.10476
1120130,325.0089,247.6297,58.3932,51.07367
1120154,325.0485,247.7697,58.39631,51.08949
1120182,324.9262,247.8286,58.38669,51.09614
1120204,324.8813,247.5452,58.38315,51.0641
1120228,324.7352,247.7676,58.37165,51.08926
1120251,324.9616,247.9733,58.38948,51.11248
1120272,325.2094,248.1502,58.40897,51.13246
1120298,325.2648,247.9247,58.41333,51.10701
1120322,325.3586,247.8854,58.42069,51.10256
1120346,325.5621,247.7563,58.43667,51.08798
1120373,325.8731,248.0751,58.46107,51.12399
1120391,325.9799,247.6647,58.46944,51.07762
1120416,326.128,247.7034,58.48104,51.08199
1120440,326.2195,248.0629,58.4882,51.1226
1120466,326.0677,247.7853,58.47631,51.09126
1120489,326.2222,247.8993,58.48841,51.10413
1120511,326.5404,248.0259,58.51329,51.11843
1120537,326.9092,247.8801,58.5421,51.10196
1120559,327.3725,247.6231,58.5782,51.07292
1120585,327.7101,247.5582,58.60447,51.06557
1120609,327.9675,247.3553,58.62447,51.04261
1120631,328.3633,247.1303,58.65518,51.01711
1120655,329.0828,246.3648,58.71087,50.93016
1120681,329.8005,245.0393,58.76624,50.77883
1120705,330.9173,243.0994,58.85205,50.55557
1120727,332.2029,240.8048,58.9503,50.28873
1120749,333.9925,237.8075,59.08615,49.93562
1120773,335.6558,234.7918,59.21146,49.57503
1120798,337.2606,231.2694,59.33149,49.147
1120823,338.9749,227.6705,59.45879,48.70191
1120845,340.6225,224.2308,59.58024,48.26901
1120870,342.3778,220.707,59.70866,47.8178
1120894,343.7567,217.1723,59.80886,47.35717
1120919,345.3015,213.2208,59.92041,46.83253
1120944,347.0702,209.3522,60.0472,46.30877
1120965,349.0853,205.2632,60.19049,45.74406
1120993,350.6249,202.2559,60.29913,45.32131
1121015,352.3147,199.0155,60.41753,44.85864
1121039,354.1969,195.2142,60.54842,44.30622
1121062,356.0379,191.1542,60.67542,43.70449
1121091,357.3846,188.0273,60.7677,43.23269
1121108,359.5787,184.3341,60.91691,42.66585
1121136,361.6429,180.3192,61.05601,42.03769
1121159,363.1695,177.1749,61.15811,41.53691
1121183,364.2389,173.6461,61.22924,40.9655
1121208,365.4101,170.6013,61.30678,40.4644
1121228,366.7491,167.8699,61.39495,40.00841
1121253,368.0333,164.8698,61.47906,39.50043
1121275,368.9931,162.2487,61.54162,39.05048
1121301,369.9367,159.3536,61.60288,38.54672
1121329,370.3354,156.5951,61.6287,38.06008
1121347,371.0089,154.3597,61.6722,37.66091
1121372,372.2778,151.9977,61.75383,37.23442
1121394,373.1092,150.4098,61.80709,36.94495
1121420,373.7679,148.9856,61.84915,36.68345
1121443,374.3401,147.6467,61.88559,36.43598
1121467,374.7429,146.3324,61.91119,36.19152
1121488,374.8645,145.3593,61.91891,36.00953
1121513,375.1221,144.8075,61.93526,35.90595
1121535,375.8226,144.4977,61.97961,35.84768
1121562,376.4355,144.0481,62.01831,35.76297
1121583,377.6887,143.7241,62.09714,35.70179
1121607,378.8214,142.993,62.16804,35.56345
1121630,379.3223,142.7869,62.19929,35.52435
1121656,380.0038,142.1285,62.2417,35.39922
1121678,380.6467,142.05,62.28159,35.38427
1121706,381.2807,142.114,62.32084,35.39645
1121727,382.2107,141.7549,62.37822,35.32804
1121750,382.9861,141.4535,62.42589,35.27053
1121774,383.3708,141.3201,62.44949,35.24504
1121799,383.4898,141.2474,62.45678,35.23115
1121823,384.1965,140.9242,62.50001,35.16932
1121849,385.0466,140.8801,62.55184,35.16089
1121869,385.8864,140.8808,62.60287,35.16103
1121893,386.3661,140.8189,62.63194,35.14917
1121916,386.6666,140.6936,62.65012,35.12515
1121942,386.9656,140.3151,62.66819,35.05255
1121963,387.1682,140.2197,62.68042,35.03423
