Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
267804.3,319.2003,239.1094,57.93015,50.08963
267821.6,319.2289,238.5254,57.93245,50.02066
267838.6,319.2194,238.1558,57.93169,49.97692
267854.5,319.0853,237.9182,57.92086,49.94875
267872.7,318.9282,237.6818,57.90816,49.92069
267889.8,318.7675,237.3492,57.89516,49.88116
267905.8,318.6194,236.7615,57.88317,49.81115
267922,318.397,236.1579,57.86515,49.73903
267938.3,318.408,235.6873,57.86605,49.68266
267954.2,318.2666,235.2564,57.85458,49.63093
267973.5,318.0552,235.1192,57.83743,49.61443
267992.1,317.9049,234.9754,57.82522,49.59714
268008.6,317.8222,234.7253,57.81851,49.56702
268023.4,317.7655,234.5441,57.8139,49.54517
268038.6,317.7654,234.3948,57.81388,49.52716
268055.8,317.8348,234.1404,57.81953,49.49644
268075,317.9079,233.9174,57.82547,49.46946
268092.9,318.0107,233.7703,57.83381,49.45167
268105.8,318.0861,233.6395,57.83994,49.43583
268126.2,318.1884,233.4678,57.84824,49.41501
268141.8,318.208,233.3589,57.84983,49.40181
268155.4,318.2567,233.0697,57.85378,49.3667
268170.5,318.3619,232.6753,57.86231,49.31874
268187.3,318.3914,232.3276,57.8647,49.27637
268206.1,318.3994,231.9402,57.86535,49.22909
268222.4,318.4494,231.5858,57.8694,49.18575
268239.3,318.5322,231.1398,57.87611,49.13111
268259.8,318.6696,230.6896,57.88724,49.07582
268275.1,318.8797,230.3377,57.90424,49.03253
268292.6,319.1353,230.0154,57.9249,48.99281
268306.7,319.4579,229.7455,57.95094,48.9595
268323.6,319.7952,229.5689,57.97813,48.93768
268342.6,320.2615,229.3096,58.01565,48.9056
268357.8,320.667,229.0882,58.04821,48.87819
268372.7,321.0767,229.1743,58.08105,48.88886
268389.6,321.456,229.402,58.1114,48.91704
268406.8,321.7112,229.7633,58.13179,48.96169
268426.5,321.7835,230.4776,58.13757,49.04975
268442.1,321.7066,231.2578,58.13142,49.14558
268456,321.4471,231.9612,58.11069,49.23165
268471.9,321.054,232.6443,58.07923,49.31496
268490,320.5558,233.1675,58.03928,49.37858
268508,320.141,233.4009,58.00596,49.4069
268525.8,319.8207,233.4409,57.98019,49.41176
268540.9,319.6047,233.3311,57.96278,49.39844
268556.3,319.4972,233.0527,57.95411,49.36463
268572.4,319.3917,232.951,57.9456,49.35228
268588.7,319.3237,232.9312,57.94011,49.34987
268605.2,319.2612,233.009,57.93507,49.35932
268622.2,319.1809,233.0786,57.92858,49.36777
268639.7,319.1067,233.1981,57.92259,49.38229
268654.2,319.0546,233.1703,57.91837,49.37892
268672.8,319.0258,233.0607,57.91605,49.3656
268688.9,319.011,233.1085,57.91485,49.37141
268710.3,319.0632,233.0401,57.91908,49.36311
268724.8,319.2259,233.0377,57.93222,49.36281
268738.8,319.366,233.1666,57.94352,49.37847
268755.2,319.5874,233.5089,57.96138,49.42
268771.7,319.7258,233.8914,57.97254,49.46632
268788.5,319.995,234.2676,57.99421,49.5118
268805.3,320.1491,234.6561,58.00661,49.55867
268822.9,320.3082,235.1623,58.0194,49.61962
268845.4,320.3694,235.3249,58.02432,49.63916
268862.1,320.4466,235.4202,58.03052,49.6506
268871.3,320.4208,235.5431,58.02845,49.66537
268888.6,320.4334,235.6257,58.02946,49.67527
268904.9,320.3766,235.769,58.0249,49.69246
268923.4,320.2833,235.888,58.0174,49.70672
268938.5,320.1574,235.9641,58.00728,49.71584
268954.3,320.0409,236.0553,57.99791,49.72676
268972.2,319.972,236.1028,57.99236,49.73244
268988.6,319.8799,236.0876,57.98495,49.73063
269005.3,319.8353,236.0532,57.98136,49.72651
269021.5,319.8127,236.1289,57.97954,49.73557
269037.9,319.8058,236.2742,57.97898,49.75295
269053.8,319.7845,236.5495,57.97726,49.78585
269071.3,319.8055,236.7553,57.97896,49.81042
269087.3,319.7764,236.9274,57.97661,49.83093
269104.7,319.7693,237.0009,57.97604,49.8397
269121.5,319.7409,236.9538,57.97375,49.83408
269137.2,319.776,236.8799,57.97658,49.82528
269154.1,319.8045,236.7402,57.97887,49.80861
269171,319.7368,236.4837,57.97342,49.77799
269187.6,319.8478,236.55,57.98236,49.78592
269204.3,319.9111,236.3216,57.98746,49.75862
269222,319.8784,236.8125,57.98483,49.81724
269238.2,319.8199,236.685,57.98012,49.80202
269254.5,320.051,236.5178,57.99872,49.78207
269272.3,320.2529,236.4277,58.01496,49.7713
269291.1,320.4173,236.3062,58.02816,49.75678
269305.6,320.6085,236.0935,58.04351,49.73133
269323,320.8082,235.6561,58.05953,49.67893
269345.9,320.974,235.3391,58.07282,49.64087
269358.7,321.2339,235.202,58.09364,49.6244
269373.8,321.3304,235.1301,58.10136,49.61575
269392.6,321.3641,235.1741,58.10405,49.62103
269407.9,321.3677,235.1567,58.10434,49.61894
269427.2,321.1724,235.137,58.08871,49.61657
269442.1,320.9678,235.2325,58.07233,49.62806
269457.5,320.7372,235.6848,58.05384,49.68236
269474.4,320.3343,235.8297,58.0215,49.69973
269494,320.0054,235.7303,57.99505,49.68782
269507.9,319.6995,235.5694,57.97042,49.66852
269527.2,319.2526,235.5921,57.93437,49.67125
269545.2,318.8059,235.4531,57.89827,49.65456
269562.4,318.4731,235.3513,57.87133,49.64233
269575.6,318.0657,234.9742,57.83828,49.59699
269592,317.744,234.53,57.81215,49.54348
269610,317.5739,233.9619,57.79831,49.47485
269627.9,317.3817,233.5337,57.78267,49.423
269646.1,317.2376,233.1503,57.77093,49.37649
269659.7,317.1786,232.7898,57.76613,49.33266
269676.6,317.1193,232.7134,57.76129,49.32337
269694.6,317.0883,232.8774,57.75877,49.34333
269711.4,317.1057,233.1348,57.76018,49.37461
269729,317.1701,233.4234,57.76543,49.40963
269744.4,317.2613,233.8314,57.77286,49.45907
269760.3,317.437,234.1863,57.78717,49.50198
269778.7,317.5928,234.5182,57.79985,49.54204
269793.9,317.812,234.9985,57.81768,49.59991
269810.7,318.0085,235.36,57.83364,49.64338
269827.2,318.2956,235.8491,57.85693,49.70206
269844.9,318.5191,236.1775,57.87505,49.74139
269861.4,318.6899,236.5527,57.88888,49.78623
269876.5,318.8426,236.8624,57.90123,49.82318
269892.5,319.0786,237.293,57.92032,49.87447
269911.8,319.27,237.5478,57.93577,49.90478
269929.4,319.4708,237.6616,57.95198,49.9183
269943.6,319.6393,237.7194,57.96556,49.92516
269957.8,319.8237,237.8847,57.98042,49.94477
269974.6,319.9719,238.0107,57.99235,49.95972
269994.7,320.1492,238.1097,58.00662,49.97146
270010.8,320.3044,238.3967,58.01909,50.00544
270028,320.4308,238.704,58.02925,50.04178
270045.9,320.4615,238.9338,58.03172,50.06892
270061.3,320.5129,239.2295,58.03584,50.1038
270075.7,320.5397,239.4454,58.03799,50.12923
270093.2,320.5852,239.6901,58.04165,50.15802
270109,320.6817,240.1022,58.04939,50.20643
270126,320.7872,240.5879,58.05785,50.26335
270143.5,320.9088,241.1687,58.0676,50.33125
270160.4,321.1048,241.8168,58.0833,50.40678
270176.6,321.3822,242.3563,58.1055,50.46949
270193.2,321.7299,243.0197,58.13329,50.54636
270210.8,322.0541,243.5505,58.15916,50.60768
270227.7,322.4166,244.1862,58.18803,50.68091
270243.4,322.765,244.6942,58.21575,50.73926
270261.5,323.0815,245.0863,58.24088,50.78421
270277.5,323.3793,245.364,58.2645,50.81599
270292.3,323.7156,245.6345,58.29114,50.8469
270314.5,323.9397,245.8712,58.30886,50.87392
270327.2,324.1864,246.1813,58.32836,50.90927
270344.2,324.3813,246.4388,58.34374,50.93858
270359.3,324.5482,246.7075,58.35691,50.96913
270376.1,324.7079,247.1098,58.3695,51.01479
270395.6,324.7949,247.7132,58.37635,51.0831
270412.1,324.8378,248.1874,58.37973,51.13665
270427.9,324.8656,248.771,58.38192,51.20237
270445.4,324.8266,249.5114,58.37885,51.28551
270461.6,324.8121,250.0945,58.3777,51.35075
270478.6,324.7501,250.6221,58.37283,51.40964
270494.2,324.6671,251.2586,58.36629,51.48047
270510.3,324.6348,251.7301,58.36374,51.5328
270526.8,324.581,252.1323,58.3595,51.57734
270543.2,324.5036,252.6256,58.35339,51.63186
270560.1,324.4857,252.9313,58.35199,51.66557
270576.8,324.4665,253.205,58.35047,51.69571
270592,324.4416,253.4277,58.3485,51.72022
270609.3,324.4217,253.6309,58.34693,51.74255
270625.5,324.4195,253.8189,58.34676,51.76318
270642.9,324.4348,254.0882,58.34797,51.79271
270664.7,324.4226,254.3088,58.347,51.81688
270675.9,324.4145,254.5537,58.34637,51.84368
270691.6,324.3985,254.8954,58.3451,51.88101
270715.7,324.3428,255.3291,58.34071,51.9283
270726.5,324.2489,255.6355,58.33329,51.96166
270742.8,324.1509,255.8271,58.32556,51.98248
270761.7,323.9596,256.0647,58.31044,52.00829
270775.4,323.588,256.1674,58.28103,52.01943
270793.8,323.0904,256.3344,58.24158,52.03755
270808.2,322.3539,256.5028,58.18304,52.05579
270825.2,321.6544,256.6017,58.12726,52.06651
270845.1,320.7736,256.6317,58.05676,52.06975
270860.4,319.8368,256.6728,57.98148,52.0742
270876.1,318.8021,256.6459,57.89796,52.07129
270892.1,317.414,256.5664,57.7853,52.06268
270910.4,316.2255,256.4841,57.68828,52.05377
270926,314.8701,256.424,57.577,52.04726
270944.1,313.3236,256.281,57.44919,52.03175
270960.9,311.8297,256.1353,57.32487,52.01596
270977.6,310.1905,256.0504,57.18749,52.00674
270993,308.5125,255.7816,57.0458,51.97754
271010.6,306.8749,255.5378,56.90646,51.95102
271027.5,305.0229,255.296,56.7476,51.92469
271044.8,303.3518,255.1104,56.60311,51.90446
271062.2,301.7617,254.9243,56.4646,51.88416
271076.2,300.165,254.7167,56.32447,51.86149
271093.9,298.4562,254.4583,56.17336,51.83324
271110,296.5842,254.0958,56.00645,51.79355
271127.8,295.1364,253.7687,55.87637,51.75768
271142.9,293.444,253.36,55.72318,51.71276
271161.3,291.9009,253.0518,55.58246,51.67885
