Time (ms), X, Y, Event
43727.81,305.8015,250.4554,0
43790.98,305.592,250.4045,0
43800.15,305.5714,250.3529,0
43809.87,305.5546,250.3093,0
43820.26,305.5978,250.3633,0
43834.24,305.61,250.4778,0
43848.39,305.5429,250.5558,0
43863.63,305.4902,250.718,0
43879.28,305.3138,250.8693,0
43897.16,305.145,250.9476,0
43914.81,304.9948,251.0669,0
43930.31,304.8028,251.0529,0
43946.84,304.6425,250.9724,0
43963.04,304.5647,250.9273,0
43980.79,304.5379,250.835,0
43996.94,304.4558,250.7434,0
44014,304.3066,250.659,0
44032.31,304.1522,250.5758,0
44047.83,303.959,250.4499,0
44064.59,303.7618,250.3342,0
44082.02,303.5441,250.2493,0
44098.86,303.3761,250.1927,0
44114.96,303.2123,250.1319,0
44132.35,303.4988,250.4166,0
44148.93,303.3978,250.4436,0
44164.7,303.2476,250.4976,0
44182.35,303.2061,250.5874,0
44198.84,303.0208,250.7042,0
44215.3,302.6967,250.9776,0
44233.07,302.317,251.3308,0
44250.81,302.2134,251.4528,0
44265.77,302.1056,251.6973,0
44282.7,302.0068,251.8988,0
44300.05,302.0897,251.8269,0
44316.57,302.323,251.7298,0
44333.37,302.7175,251.7924,0
44349.15,302.9992,251.8605,0
44366.2,303.2763,251.9196,0
44383.54,303.5816,252.0197,0
44399.98,303.857,252.1127,0
44416.7,304.015,252.2069,0
44435.08,304.1096,252.362,0
44451.99,304.2357,252.4783,0
44467.22,304.2843,252.5767,0
44483.87,304.3026,252.7043,0
44500.86,304.1873,252.8589,0
44518.25,304.0698,252.9561,0
44534.43,303.9066,252.9926,0
44550.56,303.7863,252.8678,0
44567.09,303.7452,252.8284,0
44584.85,303.7086,252.849,0
44601.65,303.6209,253.1102,0
44617.94,303.5102,253.2418,0
44634.41,303.5475,253.4151,0
44652.32,303.6819,253.491,0
44668.17,304.0294,253.5077,0
44685.7,304.4309,253.459,0
44702.73,304.8232,253.5,0
44719.93,305.253,253.7361,0
44735.91,305.5473,254.0585,0
44754.25,305.8405,254.34,0
44769.46,306.2971,254.634,0
44786.04,306.6915,254.7335,0
44802.99,307.0449,254.7215,0
44819.89,307.3379,254.8822,0
44839.16,307.5008,255.0502,0
44852.51,307.6568,255.2335,0
44870.16,307.8222,255.5202,0
44886.61,307.9419,255.6988,0
44903.95,308.1204,255.8484,0
44920.98,308.3399,256.0634,0
44937,308.7019,256.3632,0
44953.83,309.2273,256.7247,0
44970.71,310.0674,256.9923,0
44987.27,311.4169,257.3293,0
45004.31,312.9998,257.7343,0
45020.44,316.6649,258.5836,0
45047.8,318.6886,259.2914,0
45057.02,320.816,260.1133,0
45071.45,323.2497,260.9044,0
45091.01,325.7233,261.367,0
45106.05,327.7083,261.188,0
45120.59,329.4537,261.0486,0
45138.08,330.9579,260.9405,0
45155.36,332.1425,260.8963,0
45173.09,333.0573,261.0003,0
45188.29,333.8716,261.2437,0
45205.68,334.3896,261.4466,0
45222.57,334.4977,261.6363,0
45239.5,334.4873,261.8857,0
45255.82,334.2561,262.051,0
45273.18,333.5397,262.1475,0
45289.63,332.9027,262.1809,0
45306.41,332.0421,262.1904,0
45323.92,330.9708,262.1136,0
45341.97,330.1195,262.0742,0
45357.16,329.2062,262.0766,0
45373.23,328.2661,262.0663,0
45392.05,327.2311,262.0034,0
45407.85,326.315,261.9277,0
45424.03,325.422,261.7819,0
45441.83,324.609,261.4905,0
45458.91,324.044,261.17,0
45474.66,323.4788,260.8507,0
45493.25,323.1237,260.4115,0
45509.5,322.7624,260.0307,0
45524.94,322.5181,259.6064,0
45543.14,322.2892,259.3308,0
45558.49,322.0445,258.9965,0
45575.4,321.8573,258.3594,0
45593.24,321.6192,257.6579,0
45609.93,321.3374,257.0445,0
45626.12,321.1062,256.554,0
45642.87,320.928,256.0988,0
45661.88,320.7784,255.7976,0
45677.86,320.6717,255.5132,0
45694.05,320.5034,255.0907,0
45710.32,320.3862,254.5551,0
45727.62,320.2247,254.1812,0
45744.25,320.0587,253.9077,0
45760.41,319.8924,253.6786,0
45777.35,319.6794,253.6281,0
45794.7,319.4736,253.5206,0
45811.67,319.2787,253.3853,0
45827.31,318.9873,253.2609,0
45844.67,318.7241,253.2698,0
45861.14,318.3716,253.3896,0
45878.12,318.0945,253.522,0
45894.3,317.8143,253.7243,0
45912.52,317.6386,253.9955,0
45927.98,317.4543,254.3047,0
45945.5,317.3048,254.5389,0
45962.2,317.2269,254.7548,0
45978.27,317.2063,254.8678,0
45994.64,317.2397,254.9423,0
46012.45,317.333,254.9756,0
46027.66,317.4671,254.9779,0
46046.35,317.5734,254.9801,0
46062.86,317.7682,254.8933,0
46079.1,317.9409,254.9032,0
46096.55,318.1218,254.9479,0
46113.42,318.3316,254.9839,0
46130.33,318.5036,255.0832,0
46149.02,318.6144,255.1895,0
46162.54,318.752,255.3095,0
46180.48,318.8228,255.4552,0
46196.37,318.8586,255.6003,0
46212.15,318.7919,255.706,0
46229.04,318.7481,255.7976,0
46245.73,318.662,255.8468,0
46262.6,318.5405,255.9002,0
46278.99,318.431,255.9526,0
46295.69,318.3208,255.943,0
46313.58,318.2462,255.9349,0
46333.68,318.2143,255.941,0
46346.75,318.1804,255.9508,0
46365.84,318.1718,255.8765,0
46381.11,318.1898,255.8564,0
46398.7,318.2003,255.832,0
46413.19,318.2256,255.8393,0
46430.31,318.2654,255.8364,0
46446.82,318.3033,255.8611,0
46463.76,318.3611,255.7596,0
46481.39,318.4046,255.764,0
46497.85,318.4529,255.7312,0
46514.73,318.472,255.744,0
46532.97,318.5034,255.7794,0
46548.99,318.5846,255.751,0
46565.66,318.6382,255.7243,0
46581.79,318.7196,255.8438,0
46598.81,318.7544,256.0766,0
46614.8,318.7313,256.3324,0
46633.96,318.7651,256.5266,0
46650.48,318.8695,256.6832,0
46667.07,319.0935,256.8161,0
46683.57,319.2338,256.842,0
46701.27,319.3285,256.7206,0
46717.88,319.3874,256.5897,0
46734.51,319.3683,256.4733,0
46752.22,319.2079,256.3742,0
46768,319.0255,256.2719,0
46785.02,318.7449,256.1934,0
46801.73,318.4202,256.0409,0
46817.22,318.1038,255.9045,0
46835.77,317.8309,255.8034,0
46852.23,317.5973,255.8092,0
46868.23,317.3795,255.8735,0
46885.46,317.2181,255.9687,0
46901.61,317.1159,256.0207,0
46919.34,317.0814,256.0247,0
46935.85,317.0644,255.9549,0
46952.28,317.1302,255.6756,0
46969.51,317.3562,255.1723,0
46986.08,317.6649,254.9151,0
47002.71,318.0906,254.7236,0
47019.84,318.5388,254.6014,0
47036.1,319.0094,254.6639,0
47053,319.6162,254.876,0
47072.82,320.086,255.2674,0
47088.23,320.3975,255.7378,0
47104.21,320.6399,256.3027,0
47121.16,320.7606,257.0077,0
47136.71,320.7869,257.4848,0
47153.42,320.7756,257.7145,0
47170.5,320.7707,257.7728,0
47187.03,320.7323,257.9853,0
47206.04,320.5863,258.2529,0
47221.5,320.3425,258.5336,0
47238.34,320.0957,258.746,0
47255.07,319.7785,258.8463,0
47272.68,319.4536,258.8604,0
47289.25,319.1136,258.8153,0
47305.55,318.8339,258.7986,0
47322.65,318.6303,258.7246,0
47339.14,318.5021,258.555,0
47356.13,318.4928,258.2716,0
47373.44,318.4632,258.0427,0
47389.5,318.5021,257.7943,0
47406.27,318.4933,257.6984,0
47423.8,318.377,257.6479,0
47439.91,318.1806,257.5735,0
47455.77,317.9294,257.5888,0
47472.57,317.5752,257.5982,0
47488.84,317.1097,257.6874,0
47507.16,316.4106,257.943,0
47523.93,315.6057,257.9855,0
47539.36,314.7908,257.7802,0
47555.03,313.9724,257.4566,0
47572.96,313.4521,257.4743,0
47591.98,313.2481,257.5283,0
47607.8,312.1804,257.8629,0
47624.9,312.7925,257.8847,0
47643.22,312.1341,258.0138,0
47661.66,312.0129,257.5706,0
47674.59,313.19,257.3028,0
47698.53,313.4297,257.1814,0
47711.37,313.7203,257.143,0
47726.2,314.4006,257.31,0
47746.76,315.0592,257.4484,0
47757.29,315.5532,257.4767,0
47775.65,315.9669,257.3858,0
47794.11,316.3063,257.3788,0
47810.02,316.3691,257.2961,0
47825.03,316.3747,257.1682,0
47842.61,316.4872,257.2142,0
47859.18,316.5646,257.2257,0
47874.02,316.4851,257.378,0
47892.79,316.5706,257.352,0
47908.16,316.7326,257.401,0
47924.35,316.8735,257.4777,0
47942.38,316.9666,257.6353,0
47959.5,317.0671,257.684,0
47975.11,317.4077,257.623,0
47993.7,317.8722,257.4365,0
48009.11,318.1737,257.4081,0
48025.62,318.688,257.3047,0
48042.74,319.2114,257.1656,0
48059.2,319.4088,257.0845,0
48075.91,319.4779,257.1496,0
48093.34,319.6368,257.019,0
48110.15,319.822,256.9929,0
48126.2,320.3418,256.6382,0
48143.36,320.7406,256.5829,0
48160.48,320.6906,256.6625,0
48177.65,320.939,256.5705,0
48194.32,321.3299,256.4807,0
48211.07,321.4747,256.3805,0
48228.69,321.5377,256.3096,0
48245.1,321.3986,256.4415,0
48261.85,321.3372,256.4211,0
48279.88,321.2163,256.4512,0
48297.88,321.1711,256.4356,0
48314.06,321.1214,256.4341,0
48330.32,320.9847,256.5777,0
48347.36,320.9583,256.6307,0
48365.15,320.8148,256.6677,0
48378.41,320.8287,256.6303,0
48394.59,320.858,256.5043,0
48412.69,320.7978,256.5369,0
48428.29,320.7878,256.696,0
48445.13,320.7506,256.6917,0
48463.5,320.6594,256.8245,0
48480.92,320.6438,256.9802,0
48495.21,320.4373,257.0368,0
48512.22,320.2736,257.063,0
48529.29,320.1098,257.0019,0
48549.39,319.8999,257.0732,0
48562.51,319.785,257.0939,0
48579.13,319.6691,256.9561,0
48595.87,319.607,256.9013,0
48612.67,319.6932,256.743,0
48629.7,319.7009,256.6584,0
48647.04,319.8175,256.6533,0
48663.43,320.1044,256.6157,0
48680.81,320.2222,256.5402,0
