Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
2199361,338.3032,222.7668,59.40903,48.0825
2199386,339.1996,220.4493,59.47541,47.78449
2199409,340.445,218.0199,59.5672,47.46837
2199428,341.7338,216.2801,59.66166,47.23961
2199454,343.2672,214.4783,59.77336,47.00061
2199476,344.5874,212.9402,59.86894,46.79487
2199496,345.7498,211.8584,59.95264,46.64923
2199519,346.9291,210.8269,60.03712,46.50962
2199544,347.8882,210.0783,60.10552,46.40784
2199567,348.6035,209.5609,60.15634,46.33728
2199590,349.4295,209.1153,60.21484,46.27636
2199613,350.1489,208.7292,60.26561,46.22347
2199634,351.0604,207.9368,60.32973,46.1146
2199669,352.666,205.7821,60.44204,45.81637
2199692,354.0347,203.8644,60.53718,45.54823
2199708,356.2429,201.4359,60.68951,45.20494
2199735,358.222,199.5271,60.82481,44.93219
2199753,360.9213,197.306,61.00752,44.6115
2199777,364.0243,195.3598,61.21499,44.32757
2199798,367.575,193.2114,61.44909,44.01091
2199824,370.358,191.4247,61.63015,43.74498
2199844,373.8155,189.7857,61.85218,43.49891
2199867,377.4637,187.5376,62.08302,43.15813
2199892,381.2894,185.0089,62.32138,42.7702
2199912,385.2348,182.7073,62.56329,42.41284
2199935,389.4867,180.5278,62.81967,42.07065
2199960,393.5288,178.5949,63.05932,41.76404
2199982,397.4078,176.6633,63.28565,41.45469
2200009,401.3177,174.4902,63.51025,41.10311
2200029,404.6635,172.8286,63.69968,40.83171
2200052,408.2428,171.2434,63.89956,40.5707
2200077,411.3672,169.8798,64.07174,40.34454
2200097,414.4088,168.6797,64.23734,40.14423
2200121,417.7932,167.1704,64.41929,39.89064
2200147,420.3602,166.0204,64.55572,39.69614
2200167,422.9838,165.0435,64.69375,39.53005
2200189,425.6774,164.1609,64.83401,39.37931
2200211,428.2996,163.3331,64.96917,39.23732
2200232,431.1591,162.351,65.11503,39.06813
2200259,433.617,161.6865,65.23913,38.9532
2200278,435.8874,161.3453,65.35273,38.89404
2200300,438.27,161.1108,65.4709,38.85332
2200325,440.3886,160.7562,65.5751,38.79166
2200347,442.3295,160.3969,65.66982,38.72906
2200370,444.1631,160.2109,65.75867,38.69664
2200393,446.0077,160.325,65.84745,38.71654
2200415,447.7563,160.4497,65.93105,38.73829
2200439,449.3391,160.2164,66.00624,38.69759
2200463,450.7481,160.2847,66.07281,38.70951
2200482,452.1553,160.5063,66.13895,38.74814
2200507,453.3821,160.4927,66.19633,38.74578
2200531,454.362,160.8541,66.24197,38.80869
2200556,455.3249,161.3951,66.28667,38.90268
2200577,455.9583,162.1988,66.31599,39.04184
2200599,456.7804,163.1554,66.35393,39.20677
2200631,457.1709,163.8191,66.37192,39.32076
2200651,457.4963,164.5374,66.38688,39.44369
2200669,457.7689,165.7806,66.3994,39.65545
2200693,458.043,167.2794,66.41199,39.90901
2200719,458.1585,168.6065,66.41728,40.13198
2200735,458.2434,170.3535,66.42117,40.42327
2200760,458.1009,172.5563,66.41463,40.78701
2200781,457.8764,174.9111,66.40434,41.1715
2200806,457.499,178.1482,66.387,41.69276
2200831,456.7882,181.7023,66.35429,42.25551
2200852,456.2814,185.0988,66.33091,42.78407
2200878,455.9751,188.2384,66.31676,43.26477
2200895,455.83,190.7224,66.31006,43.63979
2200922,455.6666,193.6918,66.30249,44.08202
2200946,455.5102,196.4066,66.29526,44.48063
2200968,455.2663,198.951,66.28395,44.84935
2200988,454.9969,201.2778,66.27147,45.18245
2201013,454.7176,203.6958,66.2585,45.52452
2201039,454.3478,206.0691,66.24132,45.85628
2201061,454.0242,208.4362,66.22626,46.18328
