Time (ms), X, Y, Event
72846.16,292.2301,266.1013,0
72893.67,292.483,265.8403,0
72902.18,292.6117,265.7246,0
72911.21,292.7817,265.62,0
72922.34,292.9978,265.3482,0
72937.49,293.1151,265.2297,0
72950.2,293.2852,265.0872,0
72967.48,293.4681,264.9734,0
72982.34,293.4334,264.984,0
72999,293.2103,264.9413,0
73016.99,292.8494,264.9062,0
73033.35,292.7041,264.8875,0
73048.54,292.5645,264.8998,0
73066.27,292.4336,264.8197,0
73082.42,292.4498,264.7115,0
73099.68,292.4643,264.7159,0
73115.72,292.5145,264.7108,0
73132.56,292.625,264.785,0
73149.19,292.6414,264.8516,0
73166.99,292.5306,264.8542,0
73183.18,292.3015,264.8294,0
73199.86,292.074,264.889,0
73216.25,291.8095,264.9001,0
73234.08,291.5748,265.0134,0
73250.48,291.4575,265.0701,0
73266.97,291.334,265.0632,0
73285.47,291.1525,265.1238,0
73300.26,291.0191,265.1532,0
73316.7,291.0043,265.1958,0
73334.92,290.9777,265.2974,0
73352.63,291.0592,265.4322,0
73369.45,291.1034,265.5388,0
73385.08,291.1523,265.6218,0
73401.18,291.0978,265.5123,0
73418.34,291.0451,265.4875,0
73434.13,291.0714,265.5794,0
73451.34,291.0719,265.7382,0
73467.73,291.1331,265.8064,0
73484.85,291.1847,265.8329,0
73503.13,291.1264,265.8129,0
73518.86,290.9361,265.8319,0
73534.71,290.7063,265.928,0
73552.58,290.4887,265.9883,0
73569.06,290.2376,265.8941,0
73586.3,289.9601,265.848,0
73602.46,289.8023,265.9016,0
73619.87,289.7494,266.0504,0
73635.63,289.6292,266.166,0
73652.66,289.4364,266.4416,0
73670.61,289.3512,266.6782,0
73687.2,289.3572,266.7618,0
73704.82,289.2176,266.7329,0
73723.21,288.9289,266.5883,0
73741.49,288.4859,266.5379,0
73759.28,288.3623,266.4866,0
73774.34,288.2285,266.4162,0
73799.89,288.1082,266.456,0
73816.12,288.0209,266.4348,0
73827.12,287.972,266.2719,0
73842.2,287.863,266.0552,0
73857.02,287.7159,265.6919,0
73875.64,287.4857,265.4741,0
73892.75,287.2589,265.3035,0
73910.51,287.1281,265.1105,0
73925.69,287.0113,264.8951,0
73942.05,286.7948,264.7073,0
73958.87,286.6535,264.6059,0
73976.45,286.5955,264.5316,0
73991.63,286.5045,264.504,0
74008.2,286.334,264.4532,0
74025.18,286.1902,264.4797,0
74044.49,286.1182,264.4639,0
74061.38,286.0126,264.3526,0
74078.84,285.8782,264.3457,0
74093.87,285.7223,264.3161,0
74111.26,285.6786,264.2732,0
74128.82,285.6547,264.252,0
74144.84,285.566,264.3441,0
74163.25,285.4899,264.4179,0
74178.4,285.4293,264.5035,0
74193.11,285.3065,264.6265,0
74210.45,285.2167,264.8334,0
74229.15,285.1203,264.8885,0
74244.79,285.0425,264.8985,0
74261.32,284.9879,264.8399,0
74278.13,284.9042,264.7534,0
74293.27,284.8253,264.7466,0
74311.36,284.7278,264.6526,0
74328.19,284.6535,264.6007,0
74346.19,284.5625,264.5952,0
74362.14,284.4559,264.6559,0
74379.13,284.3614,264.7199,0
74394.05,284.3316,264.7716,0
74411.73,284.3289,264.7411,0
74429.62,284.3135,264.7285,0
74444.22,284.2412,264.6937,0
74461.71,284.1548,264.6956,0
74479.04,284.0466,264.8041,0
74494.39,284.0241,264.9122,0
74512.3,283.9771,265.0194,0
74528.93,283.9242,265.1346,0
74546.91,283.8977,265.2883,0
74563.63,283.9324,265.4168,0
74579.35,284.0347,265.5689,0
74595.15,284.0451,265.6566,0
74611.45,284.0624,265.6727,0
74628.65,283.9953,265.5983,0
74646.92,283.9001,265.4861,0
74662.95,283.8401,265.3923,0
74679.89,283.7886,265.2635,0
74695.06,283.6581,265.2353,0
74712.03,283.5518,265.2014,0
74730.16,283.4858,265.1613,0
74746.47,283.4772,265.0567,0
74763.02,283.2988,265.0257,0
74779.89,283.4259,265.0952,0
74794.92,283.4988,265.0777,0
74811.97,283.5942,265.1589,0
74828.75,283.6008,265.2635,0
74845.79,283.4477,265.427,0
74862.83,283.2618,265.4549,0
