Time (ms), X, Y, Event
58263.42,306.9053,241.9793,0
58332.09,306.7364,241.4108,0
58347.91,306.5815,241.29,0
58359.64,306.4728,241.2439,0
58369.37,306.4873,241.2162,0
58379.98,306.5081,241.2495,0
58392.43,306.466,241.2694,0
58408.23,306.4319,241.3331,0
58424.95,306.4168,241.3923,0
58435.35,306.4303,241.3593,0
58451.08,306.4395,241.2362,0
58467.12,306.4527,241.1491,0
58483.91,306.4587,241.1141,0
58500.74,306.4742,241.097,0
58516.73,306.5232,241.0717,0
58532.21,306.5529,241.0811,0
58550.37,306.5039,241.0584,0
58568.78,306.4983,241,0
58584.35,306.4781,241.0034,0
58602.21,306.509,241.0455,0
58617.02,306.5354,241.1482,0
58632.61,306.6317,241.2071,0
58652.91,306.7707,241.1989,0
58669.87,306.9028,241.1402,0
58686.61,307.0302,241.0463,0
58704.17,307.1848,240.9244,0
58720.48,307.2557,240.8437,0
58737.06,307.2888,240.7073,0
58750.36,307.2676,240.5059,0
58769.05,307.2986,240.3096,0
58785.22,307.2542,240.266,0
58801.4,307.1906,240.215,0
58819.21,307.0027,240.2189,0
58835.7,307.2109,240.139,0
58852.38,307.1281,240.1235,0
58869.72,307.1741,240.0564,0
58889.1,307.1815,239.9616,0
58902.81,307.1494,239.9332,0
58919.29,307.1246,239.9031,0
58937.95,307.1111,239.857,0
58954.88,307.0745,239.8289,0
58971.5,307.0888,239.8258,0
58988.96,307.0052,239.7774,0
59003.8,307.0161,239.7262,0
59019.82,307.016,239.7049,0
59038.59,306.9984,239.6219,0
59055.68,306.9695,239.6118,0
59074.65,306.9492,239.6117,0
59088.98,307.0078,239.6627,0
59105.06,307.0122,239.7178,0
59121.35,307.0642,239.7625,0
59139.92,307.1297,239.8146,0
59156.53,307.1918,239.9008,0
59173.85,307.2492,239.8783,0
59191.03,307.361,239.7808,0
59209.98,307.4452,239.8166,0
59222.45,307.5446,239.8883,0
59241.18,307.5768,239.9436,0
59255.59,307.64,240.0005,0
59273.92,307.617,240.0198,0
59290.37,307.5478,240.1231,0
59310.37,307.4503,240.1493,0
59331.02,307.394,240.1481,0
59347.8,307.3745,240.1498,0
59360.67,307.3864,240.0749,0
59375.36,307.5142,240.0521,0
59391.01,307.5506,239.9397,0
59408.74,307.6457,239.8074,0
59425.02,307.6525,239.6617,0
59442.71,307.6553,239.5967,0
59461.11,307.6188,239.5168,0
59477.5,307.5189,239.5952,0
59492.48,307.3866,239.5377,0
59509.35,307.1981,239.4881,0
59525.72,307.0649,239.3422,0
59542.61,306.9586,238.9319,0
59559.89,306.9563,238.5825,0
59575.55,306.9545,238.308,0
59593.2,306.9171,238.0536,0
59608.09,306.966,237.9083,0
59624.3,306.8598,237.7799,0
59640.93,307.0672,237.667,0
59659.75,307.1928,237.6326,0
59675.04,307.0984,237.737,0
59692.21,306.9035,237.9847,0
59710,306.7746,238.5047,0
59726.75,306.6494,239.0077,0
59744.03,306.1214,239.3116,0
59759.34,306.3616,239.8145,0
59774.06,306.379,240.0897,0
59793.6,306.1368,240.3627,0
59809.59,306.3497,240.5799,0
59828.68,306.5035,241.0356,0
59843.71,306.5564,241.48,0
59860.06,306.722,241.9776,0
59877.6,307.1482,242.6191,0
59894.39,307.3203,243.2296,0
59911.16,307.3649,243.7276,0
59926.37,307.08,244.2262,0
59942.97,306.6349,244.681,0
59959.44,305.9822,244.8668,0
59974.85,305.6105,245.063,0
59993.01,305.4795,245.381,0
60010.16,306.2152,244.9025,0
60027.65,306.8986,244.6942,0
60045.31,307.6469,244.1662,0
60060.86,308.6235,243.445,0
60078.59,309.185,242.9734,0
60094.49,309.4069,242.9642,0
60111.92,309.6262,243.3714,0
60128.05,310.2414,243.3997,0
60145.83,311.1385,242.5906,0
60162,311.839,241.6322,0
60178.27,312.6094,241.0274,0
60193.85,312.9388,239.573,0
60212.25,313.3488,237.6566,0
60227.94,314.6174,237.1513,0
60250.98,315.4115,239.0538,0
60264.72,315.5022,240.5654,0
60278.82,315.533,239.3082,0
60296.07,315.8265,236.1513,0
60313.2,316.3678,233.9131,0
60332.09,315.9785,234.6939,0
60347.15,315.2252,236.7406,0
60363.63,315.0397,236.3327,0
60380.43,315.4927,235.5073,0
60396.09,316.0965,235.4968,0
60413.29,316.3955,235.3847,0
60430.46,316.1381,234.8391,0
60447.42,315.8249,234.2089,0
60465.75,315.4905,234.2901,0
60482.44,314.9763,234.2074,0
60499.61,314.4346,234.274,0
60515.21,313.904,234.1968,0
60530.11,313.3817,234.4937,0
60549.21,312.7747,235.2847,0
60564,312.0373,237.4278,0
60586.3,311.5857,239.2529,0
60597.07,312.116,240.2881,0
60615.17,312.1173,240.324,0
60633.1,311.4883,239.6533,0
60649.18,311.0666,238.0193,0
60667.27,309.9095,237.3295,0
60689.41,309.431,238.1998,0
60699.59,309.2199,239.7012,0
60715.34,309.745,240.3879,0
60732.98,310.2851,240.431,0
60750.09,310.0221,241.43,0
60766.34,310.1799,242.2204,0
60783.19,310.6224,241.8019,0
60800.18,310.6832,241.23,0
60818.14,310.5556,241.5113,0
60833.32,310.4931,242.3952,0
60850.7,310.2425,243.0657,0
60867.25,309.9539,242.9499,0
60883.45,309.7136,243.2175,0
60900.48,309.5568,244.0794,0
60917.06,309.5043,244.9876,0
60934.48,309.8242,245.8935,0
60952.44,309.9478,246.4748,0
60975.62,309.7129,246.7426,0
60989.91,309.7719,246.6634,0
61002.66,309.7168,246.7823,0
61019.29,309.7358,246.7872,0
61039.7,309.7298,246.8546,0
61055.45,309.5898,246.7226,0
61071.1,309.446,246.3661,0
61088.05,309.4058,245.3638,0
61104.19,309.3436,244.5992,0
61118.99,309.1404,243.7423,0
61137.82,309.0759,243.5195,0
61156.91,309.0762,243.5205,0
61173.39,308.8703,243.2939,0
61195.11,308.6679,242.8751,0
61207.02,308.3314,242.0979,0
61223.72,308.0416,241.6717,0
61239.07,307.7439,240.9392,0
61253.09,307.2069,240.5225,0
61271.34,306.9479,240.1336,0
61286.91,306.7548,239.4425,0
61304.23,306.4799,238.6129,0
61321.3,306.5228,237.9338,0
61337.71,306.483,237.3902,0
61354.54,306.5922,236.9294,0
61371.97,306.7124,236.5012,0
61389.93,306.8627,236.3022,0
61405.61,306.9946,236.1279,0
61422.36,307.237,235.8788,0
61449.77,307.3402,235.8004,0
61464.07,307.4757,235.7209,0
61476.21,307.5682,235.6355,0
61490.58,307.7257,235.7588,0
61506.58,307.8861,235.9142,0
61523.78,308.4185,236.2147,0
61542.55,308.5561,236.4832,0
61558.3,308.5456,236.7158,0
61573.48,309.2734,237.1314,0
61591.67,309.2392,237.3875,0
61607.83,309.279,237.5616,0
61622.99,309.2716,237.7074,0
61642.3,309.2079,237.6528,0
61658.09,309.3542,237.6788,0
61673.92,309.3937,237.6976,0
61690.76,309.4149,237.7852,0
61707.16,309.4244,237.9609,0
61723.8,309.3939,238.1379,0
61740.96,309.2861,238.2714,0
61757.63,309.1333,238.4252,0
61774.98,309.0869,238.5162,0
61790.99,309.1412,238.7599,0
61810.19,309.0563,239.0278,0
61823.74,309.178,239.3602,0
61841.63,309.2096,239.5692,0
61858.69,309.2697,239.7105,0
61874.2,309.3386,239.8713,0
61898.09,309.349,239.9858,0
61908.66,309.3421,240.2429,0
61924.81,309.3553,240.524,0
61940.7,309.3752,240.7573,0
61958.46,309.4011,240.9554,0
61975.61,309.4409,241.0758,0
61994.72,309.4336,240.9933,0
62011.48,309.5934,240.875,0
62027.95,309.5278,240.7827,0
62040.89,309.8255,240.9095,0
62061.13,310.0221,241.131,0
62076.57,310.252,241.5381,0
62094.89,310.5384,242.0315,0
62111.98,310.7224,242.4056,0
62128.98,310.8398,242.6241,0
62144.71,310.9744,242.9365,0
62162.46,310.9955,243.402,0
62178.51,310.9805,243.8465,0
62193.77,310.9407,244.4941,0
62210.56,311.0327,245.0535,0
62228.27,311.1017,245.3184,0
62247.28,311.137,245.3921,0
62261.98,311.2066,245.3213,0
62278.16,311.1949,245.2516,0
62295.53,311.2333,245.1447,0
62311.81,311.257,245.0435,0
62328.63,311.1608,245.0819,0
62346.26,311.1783,245.1521,0
62361.7,311.0642,245.2121,0
62379.18,311.0773,245.2928,0
62404.8,311.0015,245.2514,0
62417.21,311.0341,245.1238,0
62429.71,311.0838,245.0966,0
62446.69,311.1976,245.0076,0
62462.47,311.3413,244.9854,0
62482.63,311.4856,244.9487,0
62499.63,311.546,244.9274,0
62514.3,311.5821,244.8904,0
62531.25,311.591,244.9189,0
62550.21,311.5753,245.0286,0
62567.98,311.4517,245.1229,0
62581.06,311.4159,245.1235,0
62597.54,311.2974,245.181,0
62614.55,311.1663,245.2738,0
62631.96,311.0751,245.3018,0
62649.68,310.9889,245.3064,0
62671.98,310.968,245.4334,0
62689.84,310.8421,245.5334,0
62701.22,310.8163,245.6171,0
62715.25,310.6496,245.6693,0
62730.64,310.6476,245.6367,0
62754.85,310.6174,245.5888,0
62767.4,310.4689,245.5547,0
62783.36,310.3478,245.513,0
62799.29,310.2316,245.5402,0
62816.93,310.078,245.4722,0
62832.83,310.0371,245.4336,0
62849.93,310.0289,245.3411,0
62867.99,310.0422,245.3018,0
62884.2,310.1878,245.3077,0
62901.5,310.4238,245.5288,0
62917.05,310.4908,245.7497,0
62932.82,310.407,245.997,0
62950.21,310.2569,246.062,0
62966.84,310.002,245.8997,0
62983.51,310.3835,246.0355,0
62999.86,310.2269,245.9974,0
63016.19,310.2754,246.0661,0
63033.51,310.4772,246.007,0
63049.85,310.6175,246.0124,0
63066.45,310.7628,245.9938,0
63087.06,310.7269,245.8928,0
63099.7,310.7268,245.7644,0
63115.76,310.7359,245.6469,0
63133.08,310.583,245.5542,0
63150.96,310.3939,245.3485,0
63167.88,310.3682,245.1721,0
63184.02,310.2781,244.9888,0
63203.07,310.0121,244.7053,0
63220.11,309.6317,244.4488,0
63234.25,309.1352,244.2129,0
63251.47,308.8995,244.0291,0
63267.84,308.6855,243.9489,0
63286.49,308.3693,243.7421,0
63303.89,307.9457,243.5986,0
63318.44,307.5985,243.4984,0
63335.01,307.2088,243.2784,0
63361.52,306.9247,243.0271,0
63374.09,306.5834,242.7435,0
63387.52,306.1966,242.3815,0
63402.87,305.76,242.0087,0
63420.17,305.3803,241.6606,0
63436.25,305.0449,241.3638,0
63452.64,304.8222,241.2045,0
63470.44,304.622,241.1078,0
63486.67,304.45,241.0281,0
63502.13,304.2509,240.9704,0
63518.61,304.2274,240.9488,0
63535.09,304.3693,240.9971,0
63553.39,304.6575,241.1546,0
63569.71,305.0916,241.5522,0
63586.62,305.4246,242.0239,0
63603.18,305.9599,242.75,0
63620.18,306.4731,243.4888,0
63635.73,307.0915,244.4308,0
